tipo,total,usuario
1,820,GRPIAA3
3,1016,GRPIAA3
4,166,GRPIAA3
5,23,GRPIAA3
6,14,GRPIAA3
7,3,GRPIAA3
8,22,GRPIAA3
9,2,GRPIAA3
10,2,GRPIAA3
12,3,GRPIAA3
14,9,GRPIAA3
1,0,jdaniel14
1,252,GRPIAA
3,343,GRPIAA
4,72,GRPIAA
5,9,GRPIAA
6,7,GRPIAA
7,7,GRPIAA
8,9,GRPIAA
9,5,GRPIAA
10,2,GRPIAA
12,5,GRPIAA
14,5,GRPIAA
