tipo,total,usuario
1,683,GRPIAA3
3,913,GRPIAA3
4,367,GRPIAA3
5,19,GRPIAA3
6,16,GRPIAA3
7,6,GRPIAA3
8,17,GRPIAA3
9,3,GRPIAA3
10,1,GRPIAA3
12,5,GRPIAA3
14,7,GRPIAA3
1,489,GRPIAA
3,696,GRPIAA
4,244,GRPIAA
5,17,GRPIAA
6,16,GRPIAA
7,6,GRPIAA
8,17,GRPIAA
9,4,GRPIAA
10,15,GRPIAA
12,4,GRPIAA
14,8,GRPIAA
