ruta_id,nombre
GRPIAA3,X-CR02_I,4185910,http://www.openstreetmap.org/relation/4185910
GRPIAA3,X-CR04-I,4185996,http://www.openstreetmap.org/relation/4185996
GRPIAA3,X-CR05-I,4186018,http://www.openstreetmap.org/relation/4186018
GRPIAA3,X-CR07-I,4186088,http://www.openstreetmap.org/relation/4186088
GRPIAA3,X-CR09-I,4186325,http://www.openstreetmap.org/relation/4186325
GRPIAA,X-CR13-I,4193499,http://www.openstreetmap.org/relation/4193499
GRPIAA,X-CR16-I,4203897,http://www.openstreetmap.org/relation/4203897
GRPIAA,X-CR19-I,4204154,http://www.openstreetmap.org/relation/4204154
GRPIAA,X-CR20-I,4204283,http://www.openstreetmap.org/relation/4204283
GRPIAA3,X-CR23-I,4204339,http://www.openstreetmap.org/relation/4204339
GRPIAA,X-CR30-I,4207525,http://www.openstreetmap.org/relation/4207525
GRPIAA3,X-CR31-I,4207599,http://www.openstreetmap.org/relation/4207599
GRPIAA,X-CR32-I,4210264,http://www.openstreetmap.org/relation/4210264
GRPIAA,X-CR34-I,4210468,http://www.openstreetmap.org/relation/4210468
GRPIAA,X-CR37-I,4211259,http://www.openstreetmap.org/relation/4211259
GRPIAA3,X-CR38-I,4213726,http://www.openstreetmap.org/relation/4213726
GRPIAA,X-CR39-I,4213753,http://www.openstreetmap.org/relation/4213753
GRPIAA3,X-CR40-I,4213873,http://www.openstreetmap.org/relation/4213873
GRPIAA,X-CR41-I,4214218,http://www.openstreetmap.org/relation/4214218
GRPIAA,X-CR42-I,4214222,http://www.openstreetmap.org/relation/4214222
GRPIAA3,X-CR44-I,4217348,http://www.openstreetmap.org/relation/4217348
GRPIAA3,X-CR45-I,4218929,http://www.openstreetmap.org/relation/4218929
GRPIAA3,X-CR46-I,4218937,http://www.openstreetmap.org/relation/4218937
GRPIAA3,X-CR47-I,4218948,http://www.openstreetmap.org/relation/4218948
GRPIAA3,X-CR48-I,4218959,http://www.openstreetmap.org/relation/4218959
GRPIAA3,X-CR49-I,4218962,http://www.openstreetmap.org/relation/4218962
GRPIAA,X-CR51-I,4220163,http://www.openstreetmap.org/relation/4220163
GRPIAA3,X-CR52-I,4220287,http://www.openstreetmap.org/relation/4220287
GRPIAA,X-CR53-I,4220334,http://www.openstreetmap.org/relation/4220334
GRPIAA3,X-CR54-I,4220382,http://www.openstreetmap.org/relation/4220382
GRPIAA3,X-CR56-I,4220430,http://www.openstreetmap.org/relation/4220430
GRPIAA3,X-CR57-I,4222134,http://www.openstreetmap.org/relation/4222134
GRPIAA3,X-CR58-I,4222786,http://www.openstreetmap.org/relation/4222786
GRPIAA,X-CR61-I,4222791,http://www.openstreetmap.org/relation/4222791
GRPIAA,X-CR65-I,4223687,http://www.openstreetmap.org/relation/4223687
GRPIAA,X-CR69-I,4223798,http://www.openstreetmap.org/relation/4223798
GRPIAA3,X-CR24-I,4223946,http://www.openstreetmap.org/relation/4223946
GRPIAA3,X-CR25-I,4224043,http://www.openstreetmap.org/relation/4224043
GRPIAA,X-CR71-I,4224064,http://www.openstreetmap.org/relation/4224064
GRPIAA,X-CR27-I,4224140,http://www.openstreetmap.org/relation/4224140
GRPIAA,X-CR28-I,4224171,http://www.openstreetmap.org/relation/4224171
GRPIAA3,X-CR75-I,4224333,http://www.openstreetmap.org/relation/4224333
GRPIAA,X-CR78-I,4224344,http://www.openstreetmap.org/relation/4224344
GRPIAA,X-CR84-I,4224366,http://www.openstreetmap.org/relation/4224366
GRPIAA,X-ECR02-I,4224369,http://www.openstreetmap.org/relation/4224369
GRPIAA,X-ECR03-I,4224379,http://www.openstreetmap.org/relation/4224379
GRPIAA3,X-ECR05-I,4224382,http://www.openstreetmap.org/relation/4224382
GRPIAA3,X-ECR09-I,4224390,http://www.openstreetmap.org/relation/4224390
GRPIAA3,X-ECR10-I,4224398,http://www.openstreetmap.org/relation/4224398
GRPIAA3,X-ECR13-I,4224413,http://www.openstreetmap.org/relation/4224413
GRPIAA,X-ECR14-I,4224422,http://www.openstreetmap.org/relation/4224422
GRPIAA3,X-ECR15-I,4224455,http://www.openstreetmap.org/relation/4224455
GRPIAA,X-ECR17-I,4226842,http://www.openstreetmap.org/relation/4226842
GRPIAA3,X-ECR18-I,4226864,http://www.openstreetmap.org/relation/4226864
GRPIAA3,X-ECR21-I,4227134,http://www.openstreetmap.org/relation/4227134
GRPIAA,X-ECR22-I,4227168,http://www.openstreetmap.org/relation/4227168
GRPIAA,X-ECR23-I,4227218,http://www.openstreetmap.org/relation/4227218
GRPIAA3,X-ECR24-I,4227246,http://www.openstreetmap.org/relation/4227246
GRPIAA,X-ECR26-I,4227339,http://www.openstreetmap.org/relation/4227339
GRPIAA,X-ECR28-I,4227378,http://www.openstreetmap.org/relation/4227378
GRPIAA3,X.ECR31-I,4227437,http://www.openstreetmap.org/relation/4227437
GRPIAA,X-ECR32-I,4227460,http://www.openstreetmap.org/relation/4227460
GRPIAA3,X-ECR33A-I,4227527,http://www.openstreetmap.org/relation/4227527
GRPIAA,X-ECR34-I,4227549,http://www.openstreetmap.org/relation/4227549
GRPIAA,X-ECR35-I,4227584,http://www.openstreetmap.org/relation/4227584
GRPIAA3,X-EM01-I,4230140,http://www.openstreetmap.org/relation/4230140
GRPIAA,X-EM02-I,4230229,http://www.openstreetmap.org/relation/4230229
GRPIAA3,X-EM05-I,4230265,http://www.openstreetmap.org/relation/4230265
GRPIAA3,X-EM11-I,4230381,http://www.openstreetmap.org/relation/4230381
GRPIAA,X-EM13-I,4230503,http://www.openstreetmap.org/relation/4230503
GRPIAA3,X-EM15-I,4230845,http://www.openstreetmap.org/relation/4230845
GRPIAA,X-EM16-I,4238954,http://www.openstreetmap.org/relation/4238954
GRPIAA,X-EM17-I,4239855,http://www.openstreetmap.org/relation/4239855
GRPIAA3,X-EM21-I,4240062,http://www.openstreetmap.org/relation/4240062
GRPIAA3,X-EM23-I,4240191,http://www.openstreetmap.org/relation/4240191
GRPIAA3,X-EM29-I,4240224,http://www.openstreetmap.org/relation/4240224
GRPIAA,X-EM32-I,4240306,http://www.openstreetmap.org/relation/4240306
GRPIAA,X-EM34-I,4242615,http://www.openstreetmap.org/relation/4242615
GRPIAA3,X-EM35-I,4244341,http://www.openstreetmap.org/relation/4244341
GRPIAA,X-EM36-I,4245781,http://www.openstreetmap.org/relation/4245781
GRPIAA3,X-EM37-I,4245804,http://www.openstreetmap.org/relation/4245804
GRPIAA,X-EM40-I,4245910,http://www.openstreetmap.org/relation/4245910
GRPIAA3,X-EM41-I,4245915,http://www.openstreetmap.org/relation/4245915
GRPIAA3,X-EM41A-I,4245920,http://www.openstreetmap.org/relation/4245920
GRPIAA,X-EM42-I,4248191,http://www.openstreetmap.org/relation/4248191
GRPIAA3,X-EM43-I,4248299,http://www.openstreetmap.org/relation/4248299
GRPIAA,X-EM45-I,4248438,http://www.openstreetmap.org/relation/4248438
GRPIAA,X-EM45B-I,4252696,http://www.openstreetmap.org/relation/4252696
GRPIAA,X-EM45C-I,4252751,http://www.openstreetmap.org/relation/4252751
GRPIAA,X-EM46-I,4252790,http://www.openstreetmap.org/relation/4252790
