asignado_a,nombre_ruta,id,url
Ale,X-EM45B-I,4252696,http://www.openstreetmap.org/relation/4252696
Ale,X-EM45C-I,4252751,http://www.openstreetmap.org/relation/4252751
Ale,X-EM46-I,4252790,http://www.openstreetmap.org/relation/4252790
Ale,X-EM47-I,4261592,http://www.openstreetmap.org/relation/4261592
Ale,X-EM47A-I,4261607,http://www.openstreetmap.org/relation/4261607
Ale,X-EM48-I,4261629,http://www.openstreetmap.org/relation/4261629
Ale,X-EM48A-I,4261655,http://www.openstreetmap.org/relation/4261655
Ale,X-EM48B-I,4267328,http://www.openstreetmap.org/relation/4267328
Ale,X-EM49-I,4269638,http://www.openstreetmap.org/relation/4269638
Ale,X-EM53-I,4269667,http://www.openstreetmap.org/relation/4269667
Ale,X-EM54-I,4270170,http://www.openstreetmap.org/relation/4270170
Ale,X-EM55-I,4270204,http://www.openstreetmap.org/relation/4270204
Ale,X-EM55A-I,4270225,http://www.openstreetmap.org/relation/4270225
Ale,X-EM58-I,4273938,http://www.openstreetmap.org/relation/4273938
Ale,X-EM58A-I,4273943,http://www.openstreetmap.org/relation/4273943
Ale,X-EM58B-I,4273945,http://www.openstreetmap.org/relation/4273945
Ale,X-EM59-I,4273973,http://www.openstreetmap.org/relation/4273973
Ale,X-EM62A-I,4275106,http://www.openstreetmap.org/relation/4275106
Ale,X-EM62B-I,4275199,http://www.openstreetmap.org/relation/4275199
Ale,X-EM64-I,4275251,http://www.openstreetmap.org/relation/4275251
Ale,X-EM65-I,4275312,http://www.openstreetmap.org/relation/4275312
Ale,X-EM67-I,4276570,http://www.openstreetmap.org/relation/4276570
Ale,X-EM71-I,4276585,http://www.openstreetmap.org/relation/4276585
Ale,X-EM72-I,4276630,http://www.openstreetmap.org/relation/4276630
Ale,X-EM73-I,4276653,http://www.openstreetmap.org/relation/4276653
Ale,X-EM74-I,4276660,http://www.openstreetmap.org/relation/4276660
Ale,X-EM75-I,4276666,http://www.openstreetmap.org/relation/4276666
Ale,X-EM76-I,4439267,http://www.openstreetmap.org/relation/4439267
Ale,X-EO05-I,4439613,http://www.openstreetmap.org/relation/4439613
Ale,X-EO07-I,4442976,http://www.openstreetmap.org/relation/4442976
Ale,X-EO17-I,4443104,http://www.openstreetmap.org/relation/4443104
Ale,X-EO18-I,4443141,http://www.openstreetmap.org/relation/4443141
Ale,X-EO20-I,4443210,http://www.openstreetmap.org/relation/4443210
Ale,X-EO21-I,4443293,http://www.openstreetmap.org/relation/4443293
Ale,X-EO24-I,4443365,http://www.openstreetmap.org/relation/4443365
Ale,X-EO25-I,4443463,http://www.openstreetmap.org/relation/4443463
Ale,X-EO26-I,4446025,http://www.openstreetmap.org/relation/4446025
Ale,X-EO29-I,4446214,http://www.openstreetmap.org/relation/4446214
Ale,X-EO31-I,4446296,http://www.openstreetmap.org/relation/4446296
Ale,X-EO35-I,4446364,http://www.openstreetmap.org/relation/4446364
Ale,X-EO39-I,4455258,http://www.openstreetmap.org/relation/4455258
Ale,X-EO47-I,4455342,http://www.openstreetmap.org/relation/4455342
Ale,X-EO48-I,4455406,http://www.openstreetmap.org/relation/4455406
Ale,X-EO49-I,4455529,http://www.openstreetmap.org/relation/4455529
Ale,X-EO50-I,4455849,http://www.openstreetmap.org/relation/4455849
Ale,X-EO54-I,4459515,http://www.openstreetmap.org/relation/4459515
Ale,X-EO55-I,4459572,http://www.openstreetmap.org/relation/4459572
Ale,X-EO56-I,4459732,http://www.openstreetmap.org/relation/4459732
Ale,X-EO64-I,4459740,http://www.openstreetmap.org/relation/4459740
Ale,X-EO65A-I,4459792,http://www.openstreetmap.org/relation/4459792
Ale,X-EO65B-I,4459804,http://www.openstreetmap.org/relation/4459804
Ale,X-EO69-I,4459832,http://www.openstreetmap.org/relation/4459832
Ale,X-EO71-I,4460622,http://www.openstreetmap.org/relation/4460622
Ale,X-EO79-I,4460697,http://www.openstreetmap.org/relation/4460697
Ale,X-EO96A-I,4460728,http://www.openstreetmap.org/relation/4460728
Ale,X-EO96B-I,4460768,http://www.openstreetmap.org/relation/4460768
Ale,X-EO96C-I,4462180,http://www.openstreetmap.org/relation/4462180
Ale,X-EO100-I,4462202,http://www.openstreetmap.org/relation/4462202
Ale,X-EO101-I,4462258,http://www.openstreetmap.org/relation/4462258
Ale,X-EO104-I,4462264,http://www.openstreetmap.org/relation/4462264
Ale,X-EO105-I,4462275,http://www.openstreetmap.org/relation/4462275
Ale,X-EO105A-I,4462293,http://www.openstreetmap.org/relation/4462293
Ale,X-EO109-I,4462305,http://www.openstreetmap.org/relation/4462305
Ale,X-EO110-I,4462358,http://www.openstreetmap.org/relation/4462358
Ale,X-EO110A-I,4462372,http://www.openstreetmap.org/relation/4462372
Ale,X-EO113-I,4464531,http://www.openstreetmap.org/relation/4464531
Ale,X-EO119-I,4464649,http://www.openstreetmap.org/relation/4464649
Ale,X-EO120-I,4464670,http://www.openstreetmap.org/relation/4464670
Ale,X-EO121-I,4464686,http://www.openstreetmap.org/relation/4464686
Ale,X-EO122-I,4464806,http://www.openstreetmap.org/relation/4464806
Ale,X-EO123-I,4464855,http://www.openstreetmap.org/relation/4464855
Ale,X-EO126-I,4464913,http://www.openstreetmap.org/relation/4464913
Ale,X-ICR01-I,4466970,http://www.openstreetmap.org/relation/4466970
Ale,X-ICR02-I,4467006,http://www.openstreetmap.org/relation/4467006
Ale,X-ICR02B-I,4467064,http://www.openstreetmap.org/relation/4467064
Ale,X-ICR05-I,4467102,http://www.openstreetmap.org/relation/4467102
Ale,X-ICR06-I,4467149,http://www.openstreetmap.org/relation/4467149
Ale,X-ICR10-I,4467172,http://www.openstreetmap.org/relation/4467172
Ale,X-ICR13-I,4467284,http://www.openstreetmap.org/relation/4467284
Ale,X-ICR14-I,4467454,http://www.openstreetmap.org/relation/4467454
Ale,X-ICR15-I,4467486,http://www.openstreetmap.org/relation/4467486
Ale,X-IM01-I,4467510,http://www.openstreetmap.org/relation/4467510
Ale,X-IM02-I,4467530,http://www.openstreetmap.org/relation/4467530
Ale,X-IM03-I,4470459,http://www.openstreetmap.org/relation/4470459
Ale,X-IM04-I,4470605,http://www.openstreetmap.org/relation/4470605
Ale,X-IM06-I,4470758,http://www.openstreetmap.org/relation/4470758
Ale,X-IM08-I,4470877,http://www.openstreetmap.org/relation/4470877
Ale,X-IM09-I,4470960,http://www.openstreetmap.org/relation/4470960
Ale,X-IM10-I,4471022,http://www.openstreetmap.org/relation/4471022
Ale,X-IM11-I,4471025,http://www.openstreetmap.org/relation/4471025
Ale,X-IM12-I,4471042,http://www.openstreetmap.org/relation/4471042
Ale,X-IM14-I,4471051,http://www.openstreetmap.org/relation/4471051
Ale,X-IM15-I,4471063,http://www.openstreetmap.org/relation/4471063
Ale,X-IM16-I,4471074,http://www.openstreetmap.org/relation/4471074
Ale,X-IM18-I,4471082,http://www.openstreetmap.org/relation/4471082
Ale,X-IM19-I,4471136,http://www.openstreetmap.org/relation/4471136
Ale,X-IM20-I,4475362,http://www.openstreetmap.org/relation/4475362
Ale,X-IM21-I,4475645,http://www.openstreetmap.org/relation/4475645
Ale,X-IM22-I,4476395,http://www.openstreetmap.org/relation/4476395
Ale,X-IM24-I,4476425,http://www.openstreetmap.org/relation/4476425
Ale,X-IM25-I,4476477,http://www.openstreetmap.org/relation/4476477
Ale,X-IM26-I,4476537,http://www.openstreetmap.org/relation/4476537
Ale,X-IM29-I,4476549,http://www.openstreetmap.org/relation/4476549
Ale,X-IM30-I,4479367,http://www.openstreetmap.org/relation/4479367
Ale,X-IM31-I,4479736,http://www.openstreetmap.org/relation/4479736
Ale,X-IM32-I,4479831,http://www.openstreetmap.org/relation/4479831
Ale,X-IM33-I,4480094,http://www.openstreetmap.org/relation/4480094
Ale,X-IM34B-I,4480173,http://www.openstreetmap.org/relation/4480173
Ale,X-IM35-I,4480182,http://www.openstreetmap.org/relation/4480182
Ale,X-IM40-I,4480192,http://www.openstreetmap.org/relation/4480192
Ale,X-IM41_I,4486701,http://www.openstreetmap.org/relation/4486701
Fio,X-IM55_I,4500153,http://www.openstreetmap.org/relation/4500153
Ale,X-CR02-V,4510633,http://www.openstreetmap.org/relation/4510633
Fio,X-IM51_I,4522126,http://www.openstreetmap.org/relation/4522126
Fio,X-IM51_I,4522205,http://www.openstreetmap.org/relation/4522205
