tipo,total,usuario
1,968,GRPIAA3
3,1336,GRPIAA3
4,238,GRPIAA3
5,26,GRPIAA3
6,17,GRPIAA3
7,7,GRPIAA3
8,26,GRPIAA3
9,3,GRPIAA3
10,2,GRPIAA3
12,6,GRPIAA3
14,10,GRPIAA3
1,0,jdaniel14
1,246,GRPIAA
3,295,GRPIAA
4,51,GRPIAA
5,8,GRPIAA
6,7,GRPIAA
7,5,GRPIAA
8,8,GRPIAA
9,4,GRPIAA
10,2,GRPIAA
12,3,GRPIAA
14,5,GRPIAA
