usuario,ruta,tipo1,tipo2,tipo3,tipo4,tipo5,tipo6,tipo7,tipo8,tipo9,tipo10,tipo11,tipo12,tipo13,tipo14,tipo15,tipo16,tipo17,tipo18,tipo19,tipo20
Ale,4185910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4185996,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4186018,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4186088,20,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4186325,5,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4193499,3,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4203897,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4204154,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4204283,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4204339,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4207525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4207599,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4210264,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4210468,6,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4211259,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4213726,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4213753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4213873,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4214218,4,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4214222,10,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4217348,13,0,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4218929,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4218937,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4218948,10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4218959,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4218962,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4220287,7,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4220382,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4220430,3,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4222134,8,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4222786,6,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4222791,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4223687,8,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4223798,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4223946,11,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224043,18,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224064,11,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224140,8,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224171,4,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224333,15,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224344,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224369,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224379,8,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224382,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224390,11,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224398,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224413,8,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224422,4,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4224455,8,0,14,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Ale,4226842,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4226864,0,0,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227134,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227168,11,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227218,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227246,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227339,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227378,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227460,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227527,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
