tipo,total,usuario
1,1083,Ale
3,1436,Ale
4,312,Ale
5,30,Ale
6,42,Ale
7,1,Ale
8,4,Ale
10,1,Ale
1,148,Fio
3,121,Fio
4,9,Fio
5,1,Fio
