tipo,total,usuario
1,892,GRPIAA3
3,1155,GRPIAA3
4,197,GRPIAA3
5,21,GRPIAA3
6,5,GRPIAA3
8,3,GRPIAA3
1,217,jdaniel14
3,264,jdaniel14
4,85,jdaniel14
5,9,jdaniel14
6,37,jdaniel14
8,1,jdaniel14
10,1,jdaniel14
1,48,GRPIAA
3,60,GRPIAA
4,12,GRPIAA
5,1,GRPIAA
7,1,GRPIAA
