usuario,id_ruta,tipo_error,link
GRPIAA3,4186325,4,www.openstreetmap.org/relation/4186325#map=19/-12.042049/-77.1267632
GRPIAA3,4186325,3,www.openstreetmap.org/relation/4186325#map=19/-12.045397/-77.1096963
GRPIAA3,4186325,3,www.openstreetmap.org/relation/4186325#map=19/-12.0458453/-77.1096191
GRPIAA3,4186325,1,www.openstreetmap.org/relation/4186325#map=19/-12.0455006/-77.1071768
GRPIAA3,4204154,3,www.openstreetmap.org/relation/4204154#map=19/-12.0401132/-77.0992747
GRPIAA3,4204154,3,www.openstreetmap.org/relation/4204154#map=19/-12.0402138/-77.0992609
GRPIAA3,4204154,1,www.openstreetmap.org/relation/4204154#map=19/-11.8786832/-77.1269439
GRPIAA3,4204154,3,www.openstreetmap.org/relation/4204154#map=19/-11.8789628/-77.126781
GRPIAA3,4204154,3,www.openstreetmap.org/relation/4204154#map=19/-12.0011442/-77.1167581
GRPIAA3,4204154,3,www.openstreetmap.org/relation/4204154#map=19/-11.9975163/-77.1256255
GRPIAA3,4204154,3,www.openstreetmap.org/relation/4204154#map=19/-11.9965573/-77.1261718
GRPIAA3,4204154,3,www.openstreetmap.org/relation/4204154#map=19/-11.996677/-77.126185
GRPIAA3,4204154,1,www.openstreetmap.org/relation/4204154#map=19/-11.8383349/-77.163558
GRPIAA3,4204154,1,www.openstreetmap.org/relation/4204154#map=19/-12.1292238/-77.0014109
GRPIAA3,4204154,3,www.openstreetmap.org/relation/4204154#map=19/-12.0009932/-77.11692
GRPIAA3,4204154,3,www.openstreetmap.org/relation/4204154#map=19/-11.99763/-77.1253029
GRPIAA3,4204339,3,www.openstreetmap.org/relation/4204339#map=19/-12.0009932/-77.11692
GRPIAA3,4204339,3,www.openstreetmap.org/relation/4204339#map=19/-12.0319647/-77.0739521
GRPIAA3,4204339,3,www.openstreetmap.org/relation/4204339#map=19/-12.0467144/-77.0430685
GRPIAA3,4204339,3,www.openstreetmap.org/relation/4204339#map=19/-12.0011442/-77.1167581
GRPIAA3,4204339,3,www.openstreetmap.org/relation/4204339#map=19/-11.99763/-77.1253029
GRPIAA3,4204339,3,www.openstreetmap.org/relation/4204339#map=19/-12.0332075/-77.0541229
GRPIAA3,4204339,1,www.openstreetmap.org/relation/4204339#map=19/-12.0464537/-77.0423023
GRPIAA3,4204339,3,www.openstreetmap.org/relation/4204339#map=19/-11.9965573/-77.1261718
GRPIAA3,4204339,3,www.openstreetmap.org/relation/4204339#map=19/-11.996677/-77.126185
GRPIAA3,4204339,3,www.openstreetmap.org/relation/4204339#map=19/-11.9975163/-77.1256255
GRPIAA3,4204339,3,www.openstreetmap.org/relation/4204339#map=19/-12.0466122/-77.0431494
GRPIAA3,4204339,3,www.openstreetmap.org/relation/4204339#map=19/-12.0332851/-77.0539674
GRPIAA3,4204339,3,www.openstreetmap.org/relation/4204339#map=19/-12.0319644/-77.074192
GRPIAA3,4204339,1,www.openstreetmap.org/relation/4204339#map=19/-11.9369094/-77.1309491
GRPIAA3,4207525,1,www.openstreetmap.org/relation/4207525#map=19/-12.0443168/-77.1399229
GRPIAA3,4207525,1,www.openstreetmap.org/relation/4207525#map=19/-12.0499904/-77.0398336
GRPIAA,4207599,1,www.openstreetmap.org/relation/4207599#map=19/-12.0970713/-77.0719776
GRPIAA,4207599,1,www.openstreetmap.org/relation/4207599#map=19/-12.0839745/-76.9731006
GRPIAA,4207599,1,www.openstreetmap.org/relation/4207599#map=19/-12.0505797/-77.136449
GRPIAA,4207599,1,www.openstreetmap.org/relation/4207599#map=19/-12.0970841/-77.0719427
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-12.0011442/-77.1167581
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-12.0009932/-77.11692
GRPIAA3,4210264,1,www.openstreetmap.org/relation/4210264#map=19/-11.8857941/-77.0966382
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-12.0600761/-77.0410113
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-12.0215526/-77.1065689
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-12.0401132/-77.0992747
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-12.0602924/-77.0409936
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-12.0601319/-77.0421064
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-12.0402138/-77.0992609
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-12.0600007/-77.0420576
