usuario,ruta,tipo1,tipo2,tipo3,tipo4,tipo5,tipo6,tipo7,tipo8,tipo9,tipo10,tipo11,tipo12,tipo13,tipo14,tipo15,tipo16,tipo17,tipo18,tipo19,tipo20
GRPIAA3,4185910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4185996,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4186018,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4186088,20,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4186325,5,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4204154,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4204339,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4207525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4207599,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4210264,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4211259,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4213726,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4213753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4213873,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4214218,4,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4217348,13,0,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4218929,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4218937,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4218948,10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4218959,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4218962,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4220287,7,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4220382,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4220430,3,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4222134,8,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4222786,6,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4222791,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4223798,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4223946,11,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4224043,18,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4224171,4,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4224333,15,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4224344,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4224369,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4224379,8,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4224382,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4224390,11,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4224398,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4224413,8,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4224422,4,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4224455,8,0,14,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4226842,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4226864,0,0,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4227134,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4227168,11,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4227218,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4227246,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4227339,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4227378,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4227437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4227460,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4227527,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4227549,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4227584,12,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4230140,11,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4230229,5,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4230265,5,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4230381,5,0,15,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4230503,11,0,25,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4230845,8,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4238954,7,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4239855,10,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4240062,7,0,18,9,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4240191,3,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4240224,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4240306,4,0,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4242615,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4244341,4,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4245781,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4245804,9,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4245910,10,0,26,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4245915,8,0,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4245920,13,0,11,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4248191,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4248299,9,0,22,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4248438,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4252696,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4252751,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4252790,11,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4261592,7,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4261607,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4261629,11,0,27,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4261655,6,0,19,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4267328,11,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4269638,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4269667,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4270170,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4270204,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4270225,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4273938,5,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4273943,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4273945,3,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4273973,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4275106,4,0,17,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4275199,4,0,15,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4275251,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4275312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4276570,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4276585,3,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4276630,5,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4276653,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4276660,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4276666,15,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4439267,8,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4439529,9,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4439613,7,0,17,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4442976,12,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4443104,9,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4443141,10,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4443210,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4443293,6,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4443365,8,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4443463,8,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4446025,4,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4446214,5,0,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4446296,3,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4446364,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4455258,16,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4455342,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4455406,7,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4455529,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4455849,7,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4459515,5,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4459732,5,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4459740,21,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4459792,5,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4459804,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4459832,11,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4460622,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4460697,8,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4460728,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4460768,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4462180,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4462202,18,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4462258,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4462264,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4462275,4,0,10,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4462293,4,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4462305,0,0,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4462358,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4462372,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4464531,11,0,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4464649,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4464670,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4464686,5,0,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4464806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4464855,8,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4464913,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4466970,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4467006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4467064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4467149,6,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4467172,9,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4467454,5,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4467486,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4467510,5,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4467530,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4470459,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4470605,6,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4470758,11,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4470877,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4470960,13,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4471025,11,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4471042,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4471051,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4471063,8,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4471074,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4471136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4475362,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4475645,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4476425,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4476477,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4476537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4476549,3,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4479367,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
