tipo,total,usuario
1,911,GRPIAA3
3,1255,GRPIAA3
4,533,GRPIAA3
5,26,GRPIAA3
6,20,GRPIAA3
7,7,GRPIAA3
8,17,GRPIAA3
9,3,GRPIAA3
10,8,GRPIAA3
12,5,GRPIAA3
14,7,GRPIAA3
1,279,GRPIAA
3,378,GRPIAA
4,121,GRPIAA
5,10,GRPIAA
6,12,GRPIAA
7,5,GRPIAA
8,17,GRPIAA
9,4,GRPIAA
10,2,GRPIAA
12,4,GRPIAA
14,8,GRPIAA
