id_ruta,tipo_error,link
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1138724/-77.0324052
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1121845/-77.0055421
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1124205/-77.0492773
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1130455/-77.048673
4185910,3,www.openstreetmap.org/relation/4185910#map=19/-12.0972946/-77.0713716
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0980336/-77.0694176
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.098396/-77.0683813
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1001526/-77.063257
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1004729/-77.0623826
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1005792/-77.062162
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1010324/-77.0608745
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1010744/-77.0607801
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1011172/-77.0606717
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1016963/-77.059616
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1023677/-77.0589208
4185910,5,www.openstreetmap.org/relation/4185910#map=19/-12.1029048/-77.0584401
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.065718/-77.1210834
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0656017/-77.120433
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.110295/-77.0513832
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0893556/-77.0850194
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0687163/-77.1211493
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0695197/-77.1216104
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0657274/-77.1195709
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0663992/-77.1198195
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0674706/-77.1204328
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.11316/-77.020208
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0679035/-77.1206828
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1128026/-77.0150122
