tipo,total,usuario
1,1081,Ale
3,1109,Ale
4,237,Ale
5,20,Ale
6,30,Ale
1,0,GRPIAA3
3,2,GRPIAA3
1,297,Fio
3,161,Fio
4,9,Fio
