idnodo|longitud|latitud
26567|-77.1568589|-11.787175
26564|-77.158299|-11.7899289
26565|-77.158041|-11.788582
26562|-77.1586915|-11.7925135
26563|-77.1585078|-11.7912802
26560|-76.9825182|-12.0742827
26561|-77.1601796|-11.7954457
82999|-77.1335453|-11.8493259
8292|-77.114575|-12.0426041
82998|-77.1350067|-11.8491986
8295|-77.1171399|-12.0404473
8294|-77.1266641|-12.0418316
65268|-77.0103354|-11.9079329
8297|-77.1171539|-12.040984
65264|-77.0022715|-11.913226
65265|-77.0022659|-11.9137151
65266|-77.003243|-11.9119154
8296|-77.1171446|-12.0406281
65260|-77.0007022|-11.912416
65261|-77.00073|-11.9121108
65262|-77.0135494|-11.9085673
65263|-77.0138599|-11.908563
92886|-77.0849927|-11.8351118
48917|-76.941863|-12.170482
92884|-77.0846884|-11.8366538
92885|-77.0848196|-11.8359439
92882|-77.0840662|-11.8372372
92883|-77.0846622|-11.8367956
92880|-77.0950304|-11.8462926
48916|-76.9351065|-12.0233566
92888|-77.0845201|-11.8360235
92889|-77.084198|-11.8364858
15559|-77.1494738|-12.0652828
48912|-76.9324527|-12.0242074
93139|-77.0609137|-11.8722549
93138|-77.0613007|-11.8726547
93135|-77.063489|-11.8709509
93134|-77.0610032|-11.8723441
93137|-77.0627361|-11.8701012
93136|-77.0631075|-11.8705215
93131|-77.062971|-11.8688156
93130|-77.0623648|-11.8688287
93133|-77.0634357|-11.8710011
93132|-77.0643282|-11.8706268
75289|-76.9671038|-12.090004
75288|-76.9426779|-12.0566462
75287|-76.9439202|-12.0574528
75286|-76.9403148|-12.058108
75285|-77.0561636|-12.0446744
75284|-76.9758529|-12.1763534
75283|-76.9530168|-12.1822787
75282|-76.9538293|-12.181827
75281|-76.9553272|-12.1813746
75280|-76.958238|-12.1805475
81113|-77.1624329|-11.8289926
91095|-76.9960831|-11.9960865
23512|-77.0794242|-12.0139498
98849|-77.0788656|-11.8416312
16709|-77.0130813|-12.1507634
16708|-77.0140972|-12.1503446
6819|-77.0231436|-12.1431702
6818|-77.0219911|-12.1430806
80599|-77.1662583|-11.7828755
6811|-77.0243269|-12.1424094
6810|-77.0242603|-12.1432532
6813|-77.0242967|-12.1390724
6812|-77.0244219|-12.1413438
6815|-77.0231964|-12.1422868
6814|-77.0220603|-12.1421652
6817|-77.02528|-12.1425271
6816|-77.0251396|-12.1424975
9757|-76.9718027|-12.1103215
9756|-76.9720655|-12.110909
9755|-76.9720328|-12.1079336
9754|-76.971967|-12.1079704
9753|-76.9714003|-12.108192
9752|-76.9710409|-12.1083966
9751|-76.9705798|-12.108949
9750|-76.9698607|-12.1099595
80595|-77.1653378|-11.7770932
9759|-76.9689381|-12.106545
9758|-76.968584|-12.1069017
24146|-77.0931215|-12.0246722
24147|-77.0928011|-12.0244866
24144|-77.0933268|-12.0248644
24145|-77.0922665|-12.0254354
24142|-77.093391|-12.025928
24143|-77.0926941|-12.0262859
24140|-77.0927152|-12.0263284
24141|-77.0937064|-12.0257636
24148|-77.0940288|-12.026628
24149|-77.0937888|-12.0249917
59959|-77.0399331|-11.9839594
59958|-77.0413512|-11.9804084
54279|-76.8765629|-12.0412855
59951|-77.0382013|-11.9834348
59950|-77.0364438|-11.9745132
59953|-77.0410795|-11.9832843
59952|-77.0387352|-11.9831089
59955|-77.0445265|-11.9824208
59954|-77.0407404|-11.984317
59957|-77.040883|-11.9813419
59956|-77.041783|-11.9815916
11847|-77.0070799|-12.1125946
11846|-77.0070627|-12.1129722
94336|-77.0334811|-12.083342
11845|-77.0070112|-12.1134506
11844|-77.0069864|-12.113851
77850|-76.9295964|-12.1669498
11842|-77.006891|-12.1153975
68348|-77.089722|-11.962137
68349|-77.0901639|-11.9616393
68344|-77.0898231|-11.9725494
68345|-77.097068|-11.9584937
68346|-77.0957997|-11.9574017
68347|-77.095952|-11.9571986
68340|-77.0935707|-11.9627213
68341|-77.0912422|-11.9710734
68342|-77.0908163|-11.9715291
68343|-77.0904875|-11.971881
88984|-76.8432354|-12.3047309
94334|-77.0288267|-12.0866835
88985|-76.8440607|-12.3056364
91825|-76.9970206|-12.0810193
88986|-76.8423223|-12.3054476
52468|-76.995706|-12.2181858
88987|-76.8398526|-12.3106891
52469|-76.9942136|-12.2188321
88980|-76.847555|-12.3053745
88981|-76.8459787|-12.3048298
30334|-77.1059257|-11.8380213
30335|-77.1049693|-11.8368832
30336|-77.1038591|-11.8356254
30337|-77.1037992|-11.8355541
30330|-76.921563|-12.221619
30331|-76.8047584|-11.985506
30332|-76.8050234|-11.984834
30333|-77.1066641|-11.8388959
76167|-76.827439|-12.0084309
76166|-76.8261329|-12.0093826
76165|-76.8256139|-12.0097359
76164|-76.8285079|-12.010911
30338|-77.1034323|-11.8351166
30339|-76.8252222|-12.0146395
76161|-76.8200357|-12.013118
76160|-76.8282718|-12.0090026
7566|-77.1056728|-12.0455558
7567|-77.1047796|-12.0454759
7564|-77.1037314|-12.0461857
52460|-76.943588|-12.140236
94332|-77.0282924|-12.0826717
7565|-77.1035986|-12.0461692
52461|-76.9477397|-12.1774944
7562|-77.1046937|-12.0462766
81563|-77.1576816|-11.8266306
52462|-77.0563016|-12.089132
7563|-77.1044569|-12.0462542
72394|-76.9459388|-12.198093
72395|-76.9442424|-12.195454
72396|-76.9499991|-12.1939299
52463|-77.0567846|-12.0888064
72390|-76.9434341|-12.1966363
72391|-76.9434966|-12.196674
72392|-76.9438834|-12.1969058
72393|-76.9458601|-12.1980487
52464|-77.079589|-12.019018
7561|-77.1050033|-12.046304
72398|-76.9427602|-12.1950851
72399|-76.9486193|-12.2017275
52465|-76.9955076|-12.2175875
94333|-77.0281637|-12.0837209
52466|-76.995651|-12.2176117
52467|-76.9964926|-12.2178107
35218|-76.93734|-12.177518
35219|-76.936729|-12.178326
35214|-76.7758024|-12.3956001
35215|-76.7763348|-12.3953772
35216|-76.9843735|-12.0607069
35217|-76.982971|-12.06049
35210|-77.0755855|-11.8725611
35211|-77.022606|-12.035191
35212|-77.022522|-12.035154
35213|-77.0087897|-12.0820629
23266|-77.0989092|-12.0338417
23267|-77.0983611|-12.0334668
23264|-77.0992726|-12.0340133
23265|-77.0995408|-12.0333312
23262|-77.0935398|-12.036569
23263|-77.0988959|-12.0354192
23260|-77.0989459|-12.0374654
23261|-77.0950875|-12.0368839
23268|-77.0979212|-12.0338797
23269|-77.0973307|-12.0344645
95799|-76.9629088|-11.896765
95798|-76.9520356|-11.8974541
94331|-76.9712972|-12.066246
53733|-76.9286339|-12.2240451
96668|-77.0013802|-12.1284365
53732|-76.929364|-12.2228374
53731|-76.9298554|-12.2220245
43859|-76.9627774|-12.1476267
53730|-76.9896157|-12.1471681
43853|-76.875268|-12.122795
43852|-76.8746157|-12.122787
43851|-76.8726049|-12.1226787
43850|-77.020545|-12.1659147
43857|-76.9549362|-12.1345502
43856|-76.9539483|-12.1343541
43855|-76.9534534|-12.1340627
43854|-76.985098|-12.150627
53735|-76.9279055|-12.2252501
53734|-76.9281763|-12.2248022
73447|-76.9616332|-12.1970268
73446|-76.961854|-12.1966436
73445|-76.962531|-12.197008
73444|-76.961887|-12.1956088
73443|-76.962341|-12.1957984
73442|-76.962678|-12.195885
73441|-76.9631557|-12.1959447
73440|-76.9629797|-12.1972406
49569|-76.8726658|-12.0868306
73449|-76.9605033|-12.1980391
73448|-76.9616442|-12.1986116
6935|-77.0131012|-12.1345731
81569|-77.1550566|-11.8272731
49565|-77.1735235|-11.7741851
49564|-77.1733066|-11.7743657
49567|-76.9654996|-12.0941411
49566|-77.1739684|-11.7738177
49561|-76.939102|-12.140051
81568|-77.1554283|-11.8271838
49560|-76.920623|-12.04143
49563|-77.1724875|-11.7750716
84221|-77.1451104|-11.8820371
49562|-77.1697636|-11.7760704
1679|-77.0368579|-12.1158549
84229|-77.1295858|-11.8684226
1671|-77.0276913|-12.1135596
85679|-77.1144085|-11.8442632
85678|-77.1137345|-11.8442942
85671|-77.1149297|-11.8537904
85670|-77.1183889|-11.855279
85673|-77.1179377|-11.8546656
85672|-77.1157896|-11.8543703
85675|-77.117336|-11.8549749
85674|-77.1169007|-11.8492358
85677|-77.1177975|-11.8565957
85676|-77.1177016|-11.8562385
5058|-77.1375143|-12.0474236
5059|-77.1377718|-12.0474802
5054|-77.1362471|-12.0471437
5055|-77.1365058|-12.0472011
5056|-77.1366901|-12.0472419
5057|-77.1369291|-12.0472949
5050|-77.1478513|-12.0612419
5051|-77.1350341|-12.0469011
5052|-77.1351553|-12.0469008
5053|-77.1354786|-12.0469733
38569|-76.9637899|-12.1505752
38568|-76.8729311|-12.0986428
96660|-76.8999036|-11.9758075
98497|-77.0463273|-11.8692345
38561|-76.7786917|-11.9800266
38560|-76.918174|-12.193072
38563|-76.8024631|-12.1024181
38562|-76.7810901|-11.98053
38565|-76.8003064|-12.105781
38564|-76.8013916|-12.1040739
38567|-76.872834|-12.098088
38566|-76.958373|-12.128772
70138|-76.9800452|-12.136923
70139|-76.9794717|-12.137112
70136|-76.9716474|-12.1399979
70137|-76.971257|-12.140348
70134|-76.9726925|-12.1384235
70135|-76.9721271|-12.1395165
70132|-76.9750777|-12.1419302
70133|-76.9733043|-12.1373849
70130|-76.9757861|-12.1425131
70131|-76.9754481|-12.1422289
18893|-77.0068622|-11.9989513
18892|-77.0073261|-11.9990552
18891|-77.0052045|-12.0005065
18890|-77.0056939|-11.9979665
18897|-77.0080026|-11.998328
18896|-77.0084536|-11.9985035
18895|-77.0090198|-11.9986525
18894|-77.0061357|-11.9988451
18899|-77.0062875|-11.9979855
18898|-77.0075614|-11.9982129
69178|-77.110539|-11.9920562
94134|-77.1220308|-11.8876942
69179|-77.1100404|-11.9922255
13892|-77.030238|-12.0347114
13893|-77.0304385|-12.0345571
87299|-77.0316167|-11.8907947
87298|-77.0302528|-11.8733824
98495|-77.045687|-11.8695033
87291|-77.0325442|-11.8798969
87290|-77.0333429|-11.8792112
87293|-77.0312504|-11.8739493
87292|-77.0321612|-11.8802257
87295|-77.0316107|-11.8727075
87294|-77.0320862|-11.8732588
87297|-77.0252297|-11.8830711
87296|-77.0307872|-11.8734165
94135|-77.1225908|-11.8881137
36178|-76.9728917|-12.0493759
36179|-76.9724206|-12.0491763
36174|-76.912666|-12.207771
36175|-76.912514|-12.20784
36176|-76.974223|-12.0499481
36177|-76.9733406|-12.0495661
36170|-76.7086147|-11.941429
36171|-76.7088863|-11.9421687
36172|-76.888229|-12.087117
36173|-76.887459|-12.087518
69833|-76.9388408|-12.2180545
69832|-76.938399|-12.2178019
98493|-77.0442044|-11.8711569
83637|-77.1266617|-11.843189
83636|-77.1298451|-11.8410201
83635|-77.1262071|-11.8418247
83634|-77.1301032|-11.8413449
83633|-77.1263204|-11.8421649
83632|-77.1303286|-11.8416697
83631|-77.1264341|-11.842506
83630|-77.1259198|-11.8494392
83639|-77.1267369|-11.8497144
83638|-77.1304483|-11.842356
98492|-77.0434392|-11.8721519
28021|-77.0413431|-11.9300525
19356|-77.0144823|-11.9738534
94138|-77.1221835|-11.8885832
6958|-77.0255383|-12.1140645
94139|-77.1220722|-11.8888915
6959|-77.0192381|-12.1193951
98490|-77.044807|-11.8715927
8035|-77.0139885|-12.077858
8034|-77.0143801|-12.0776692
8037|-77.0133286|-12.078178
8036|-77.0136612|-12.0780206
8031|-77.0163327|-12.0767984
8030|-77.0170891|-12.0766567
8033|-77.015571|-12.0770554
8032|-77.0159518|-12.0768718
8039|-77.0129853|-12.0783616
8038|-77.0132267|-12.0782252
58075|-77.0354696|-11.9325845
58074|-77.035618|-11.9328596
58077|-77.0381349|-11.9422271
44913|-77.0518148|-12.0366281
44912|-77.0518728|-12.0372907
44911|-76.9275274|-12.2276656
44910|-76.9279977|-12.2268807
44917|-76.984646|-12.146455
44916|-76.9851087|-12.1463814
44915|-76.9855845|-12.1463026
44914|-77.0973901|-12.0730863
58071|-77.0369311|-11.9362365
44919|-76.783492|-11.97548
44918|-76.9826332|-12.1469165
58070|-77.0375567|-11.9369017
89491|-76.8230636|-12.3335325
46182|-76.999604|-12.066719
89493|-76.8230409|-12.3329267
89492|-76.8230595|-12.333425
89495|-76.824711|-12.3304396
58073|-77.0358529|-11.9334532
89497|-76.823243|-12.3312185
46183|-76.979012|-12.169043
89499|-76.8247433|-12.3311867
89498|-76.8247048|-12.3303463
58072|-77.0359503|-11.9337267
82966|-77.1379109|-11.8370084
88720|-76.7912957|-12.3714776
88721|-76.7917353|-12.3718818
88722|-76.7918148|-12.3719548
82967|-77.1379661|-11.8372381
88724|-76.793852|-12.368179
88725|-76.7941878|-12.3684475
88726|-76.794503|-12.3686996
88727|-76.7953913|-12.3652191
88728|-76.7959103|-12.3648532
82960|-77.1374922|-11.8353512
82961|-77.1375771|-11.8356896
46184|-76.6982764|-11.9431731
46185|-76.6980077|-11.9434873
13988|-76.8663971|-12.2744044
13989|-76.8660956|-12.274694
13984|-76.8657217|-12.2767582
13985|-76.8680958|-12.2763652
13986|-76.8667501|-12.2747893
13987|-76.8694797|-12.2750227
13980|-76.8694025|-12.2734431
13981|-76.8690605|-12.2729494
13982|-76.8687854|-12.27417
13983|-76.8673749|-12.275493
91824|-76.9974449|-12.0812803
89235|-76.8511762|-12.3026961
89234|-76.8510016|-12.3025097
89237|-76.8546619|-12.2956234
89236|-76.8517221|-12.2984582
89231|-76.853159|-12.2970832
89230|-76.8527078|-12.296617
89233|-76.8505483|-12.302421
89232|-76.8491007|-12.3008776
89239|-76.8462356|-12.3029729
89238|-76.8458365|-12.3028014
16002|-77.0736954|-12.0744448
16003|-77.0714023|-12.0740462
16000|-77.0742348|-12.0753852
16001|-77.0744857|-12.0760716
5869|-77.061294|-12.0531197
5868|-77.0610858|-12.0526155
16004|-77.073134|-12.0729312
16005|-77.0704923|-12.077279
5865|-77.0594486|-12.0486496
5864|-77.059471|-12.0481166
5867|-77.0604347|-12.0510384
5866|-77.0596307|-12.0490907
5861|-77.0614186|-12.0564084
5860|-77.0613881|-12.0565696
5863|-77.0467842|-12.0503785
5862|-77.0465075|-12.0504727
94361|-77.0018167|-12.016655
94360|-77.0281751|-12.0826587
94363|-77.0321263|-12.0792264
94362|-77.0474391|-12.0852308
17359|-77.0115552|-11.9861795
17358|-77.0115726|-11.9864659
94367|-77.0023974|-12.0629487
94366|-77.0311335|-12.0790903
17355|-77.0119754|-11.989363
17354|-77.0119551|-11.9895471
17357|-77.0116929|-11.9869015
17356|-77.0119707|-11.9887468
17351|-77.0118121|-11.9868534
17350|-77.0117373|-11.9856778
17353|-77.0121146|-11.9895808
17352|-77.0121146|-11.9893915
43003|-76.996354|-12.076098
60258|-77.0425226|-11.9685935
60259|-77.042586|-11.9687857
60256|-77.0426055|-11.9689028
60257|-77.0422364|-11.9690096
60254|-77.0350985|-11.9649201
60255|-77.0434308|-11.9688381
60252|-77.0404117|-11.9674211
60253|-77.0398081|-11.9671248
60250|-77.0398253|-11.9663057
60251|-77.0421855|-11.9747543
69783|-76.9515907|-12.201312
19588|-77.0006073|-11.9771571
19589|-77.0005802|-11.9771953
19586|-76.9934732|-11.9813842
19587|-77.0015537|-11.9758615
19584|-76.9966457|-11.9811066
19585|-76.9970979|-11.9817736
19582|-76.9937488|-11.9804404
19583|-76.9941064|-11.9809529
19580|-76.9935579|-11.9777237
19581|-76.9960664|-11.9795988
64007|-77.1043922|-11.999855
64006|-77.091775|-12.0008529
64005|-77.0992297|-11.9868331
64004|-77.1000223|-11.9867767
20869|-77.0584191|-11.9873656
20868|-77.061103|-11.9895199
64001|-77.091378|-12.005582
64000|-77.0915832|-12.0051365
20865|-77.0593465|-11.9874952
20864|-77.0594271|-11.9870576
20867|-77.061397|-11.9875709
20866|-77.0616256|-11.9859972
20861|-77.0603984|-11.9876681
20860|-77.0586143|-11.9864778
20863|-77.0599813|-11.9875989
20862|-77.060034|-11.9871488
6953|-77.0128187|-12.1366542
16114|-76.9800424|-12.1296284
94422|-76.9659853|-12.0521438
16115|-76.9809111|-12.1293073
16116|-76.9814924|-12.1290957
51927|-76.9481752|-12.0615309
51920|-76.9274163|-12.2399244
51921|-76.932627|-12.1702135
45639|-76.8571082|-12.2328311
45638|-76.8004861|-12.1003739
5931|-77.1050354|-12.0668213
45631|-76.990838|-12.037178
45630|-77.0476038|-12.0882112
45633|-76.9299433|-12.038194
45632|-76.9300692|-12.0377955
45635|-76.994529|-12.074963
45634|-76.9297388|-12.0388415
45637|-76.9930498|-12.0739296
45636|-76.9935659|-12.0743288
42177|-76.9580586|-12.1844091
42176|-76.9581179|-12.1839542
42175|-76.948281|-12.182693
42174|-76.947738|-12.182705
42173|-76.6865859|-11.9326473
42172|-76.917289|-12.227313
42171|-76.917649|-12.22716
42170|-77.1179912|-11.9974174
63781|-77.0932611|-12.0123381
63780|-77.0919359|-12.0118757
63783|-77.106306|-11.9971003
80385|-77.1304252|-11.8174076
80382|-77.1338865|-11.8232385
80383|-77.1343436|-11.8227262
42179|-76.9579379|-12.1853342
42178|-76.9579979|-12.1848741
97470|-77.0844118|-11.829607
97471|-77.0847998|-11.8296307
97472|-77.0690934|-11.828437
97473|-77.0691934|-11.8285774
12208|-76.9785184|-12.1309198
12209|-76.9776622|-12.1314304
97476|-77.0801785|-11.8270632
97477|-77.0802576|-11.8280787
12204|-76.9845968|-12.1105824
12205|-76.9883062|-12.11084
12206|-76.9778517|-12.1102727
12207|-76.9786662|-12.1103276
12200|-77.0825714|-12.0835999
12201|-76.9786326|-12.110165
12202|-76.9797011|-12.110237
12203|-76.980613|-12.1103
90123|-76.7561193|-12.4742941
90122|-76.7563806|-12.4747848
90121|-76.7776821|-12.4859764
90120|-76.7787661|-12.4864134
90127|-76.7998992|-12.5054166
90126|-76.7976539|-12.5037431
90125|-76.7935424|-12.5014041
90124|-76.7893351|-12.494588
90129|-76.785991|-12.4928417
90128|-76.7869993|-12.4935442
29358|-77.0487543|-11.9440479
29359|-77.0484691|-11.9430544
29350|-77.0548566|-11.9439726
29351|-77.0510793|-11.9448084
29352|-77.0486842|-11.9368887
29353|-77.0467079|-11.9340377
29354|-77.0570422|-11.9387221
29355|-77.0664475|-11.9451241
29356|-77.05492|-11.9396437
29357|-77.0485627|-11.9449593
8866|-77.0252377|-12.065423
8867|-77.0249211|-12.0680013
8864|-77.0151676|-12.0695724
8865|-77.0254276|-12.0640763
8862|-77.015712|-12.0655061
8863|-77.0153197|-12.0684875
8860|-77.016056|-12.0628456
8861|-77.0158908|-12.0642078
8868|-77.024831|-12.0686848
8869|-77.026906|-12.0736614
26834|-77.0673655|-12.0376326
26835|-77.0675975|-12.0375985
26836|-77.0688352|-12.0374509
26837|-77.0692171|-12.0479786
26830|-77.0689295|-12.0411498
26831|-77.0660695|-12.0378229
26832|-77.0669348|-12.0376958
26833|-77.067149|-12.0376667
67576|-77.0864403|-11.9232969
67577|-77.0867847|-11.9243012
67574|-77.0955987|-11.9324806
67575|-77.0954218|-11.9329447
26838|-77.0681388|-12.0478729
26839|-77.0650426|-12.0475692
67570|-77.0920965|-11.9372984
67571|-77.092975|-11.936563
68634|-77.0985687|-11.9785454
68635|-77.0982396|-11.9782234
68636|-77.0975177|-11.9751644
68637|-77.0961126|-11.9785256
68630|-77.0921577|-11.9731054
68631|-77.0914071|-11.973566
68632|-77.091101|-11.9737538
68633|-77.0991728|-11.9791436
96989|-76.9175148|-12.0460835
96988|-76.9172596|-12.0467941
68638|-77.0970991|-11.9714414
68639|-77.0973978|-11.9717497
95829|-76.95528|-11.9022226
95828|-76.9558821|-11.900136
90505|-76.9774007|-12.0254993
79724|-77.0705099|-11.8848851
79725|-77.0694998|-11.8779293
