usuario,nombre_ruta,id_ruta,tipo_error,link
Ale,X-CR30-I,4207525,1,www.openstreetmap.org/relation/4207525#map=19/-12.0499904/-77.0398336
Ale,X-CR31-I,4207599,1,www.openstreetmap.org/relation/4207599#map=19/-12.0839745/-76.9731006
Ale,X-CR31-I,4207599,1,www.openstreetmap.org/relation/4207599#map=19/-12.0505797/-77.136449
Ale,X-CR32-I,4210264,1,www.openstreetmap.org/relation/4210264#map=19/-12.0606731/-77.0418616
Ale,X-CR32-I,4210264,1,www.openstreetmap.org/relation/4210264#map=19/-11.8857941/-77.0966382
Ale,X-CR34-I,4210468,1,www.openstreetmap.org/relation/4210468#map=19/-11.8208819/-77.1339119
Ale,X-CR34-I,4210468,1,www.openstreetmap.org/relation/4210468#map=19/-12.0901631/-77.0577472
Ale,X-CR34-I,4210468,4,www.openstreetmap.org/relation/4210468#map=19/-11.9409103/-77.0503689
Ale,X-CR34-I,4210468,1,www.openstreetmap.org/relation/4210468#map=19/-11.9307131/-77.07234
Ale,X-CR34-I,4210468,1,www.openstreetmap.org/relation/4210468#map=19/-11.9131855/-77.0736834
Ale,X-CR34-I,4210468,1,www.openstreetmap.org/relation/4210468#map=19/-11.9130277/-77.0735815
Ale,X-CR34-I,4210468,1,www.openstreetmap.org/relation/4210468#map=19/-11.9307246/-77.0724432
Ale,X-CR37-I,4211259,1,www.openstreetmap.org/relation/4211259#map=19/-12.0419206/-77.1063973
Ale,X-CR37-I,4211259,1,www.openstreetmap.org/relation/4211259#map=19/-12.0285661/-76.96232
Ale,X-CR38-I,4213726,1,www.openstreetmap.org/relation/4213726#map=19/-12.0839745/-76.9731006
Ale,X-CR38-I,4213726,1,www.openstreetmap.org/relation/4213726#map=19/-12.0433155/-77.1359404
Ale,X-CR39-I,4213753,1,www.openstreetmap.org/relation/4213753#map=19/-12.0516244/-77.1336651
Ale,X-CR39-I,4213753,1,www.openstreetmap.org/relation/4213753#map=19/-12.0828948/-76.9701413
Ale,X-CR40-I,4213873,1,www.openstreetmap.org/relation/4213873#map=19/-12.0434879/-77.0424438
Ale,X-CR40-I,4213873,1,www.openstreetmap.org/relation/4213873#map=19/-12.063718/-77.1466998
Ale,X-CR41-I,4214218,1,www.openstreetmap.org/relation/4214218#map=19/-11.8518956/-77.1282927
Ale,X-CR41-I,4214218,1,www.openstreetmap.org/relation/4214218#map=19/-12.0466122/-77.0431494
Ale,X-CR42-I,4214222,1,www.openstreetmap.org/relation/4214222#map=19/-12.08354/-77.0661707
Ale,X-CR42-I,4214222,1,www.openstreetmap.org/relation/4214222#map=19/-12.0833947/-77.0661216
Ale,X-CR42-I,4214222,1,www.openstreetmap.org/relation/4214222#map=19/-11.9890671/-77.0571098
Ale,X-CR42-I,4214222,1,www.openstreetmap.org/relation/4214222#map=19/-12.043791/-77.0427342
Ale,X-CR42-I,4214222,1,www.openstreetmap.org/relation/4214222#map=19/-12.0434879/-77.0424438
Ale,X-CR42-I,4214222,1,www.openstreetmap.org/relation/4214222#map=19/-11.9663751/-77.0375714
Ale,X-CR42-I,4214222,1,www.openstreetmap.org/relation/4214222#map=19/-12.0430753/-77.0425242
Ale,X-CR42-I,4214222,1,www.openstreetmap.org/relation/4214222#map=19/-11.9889137/-77.0571119
Ale,X-CR42-I,4214222,4,www.openstreetmap.org/relation/4214222#map=19/-12.03657/-77.0994272
Ale,X-CR44-I,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0298487/-77.094507
Ale,X-CR44-I,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.0194365/-77.1012509
Ale,X-CR44-I,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.0169013/-77.0982591
