tipo,total,usuario
1,1119,Ale
3,1144,Ale
4,244,Ale
5,19,Ale
6,30,Ale
1,0,GRPIAA3
3,2,GRPIAA3
1,109,Fio
3,167,Fio
4,16,Fio
