usuario,ruta,nombre_ruta,tipo1,tipo2,tipo3,tipo4,tipo5,tipo6,tipo7,tipo8,tipo9,tipo10,tipo11,tipo12,tipo13,tipo14,tipo15,tipo16,tipo17,tipo18,tipo19,tipo20
Ale,4227168,X-ECR22-I,11,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227218,X-ECR23-I,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227246,X-ECR24-I,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227339,X-ECR26-I,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227378,X-ECR28-I,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227437,X.ECR31-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227460,X-ECR32-I,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227527,X-ECR33A-I,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227549,X-ECR34-I,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4227584,X-ECR35-I,12,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4230140,X-EM01-I,11,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4230229,X-EM02-I,5,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4230845,X-EM15-I,8,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4238954,X-EM16-I,7,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4239855,X-EM17-I,9,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4240062,X-EM21-I,6,0,20,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4240224,X-EM29-I,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4240306,X-EM32-I,4,0,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4242615,X-EM34-I,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4244341,X-EM35-I,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4245781,X-EM36-I,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4245804,X-EM37-I,6,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4245910,X-EM40-I,0,0,25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4245915,X-EM41-I,4,0,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4245920,X-EM41A-I,13,0,11,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4248191,X-EM42-I,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4248438,X-EM45-I,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4252696,X-EM45B-I,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4252751,X-EM45C-I,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4261592,X-EM47-I,7,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4261607,X-EM47A-I,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4261629,X-EM48-I,11,0,25,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4261655,X-EM48A-I,6,0,15,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4267328,X-EM48B-I,11,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4269638,X-EM49-I,4,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4270170,X-EM54-I,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4270204,X-EM55-I,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4270225,X-EM55A-I,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4273938,X-EM58-I,5,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4273943,X-EM58A-I,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4273945,X-EM58B-I,3,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4273973,X-EM59-I,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4275106,X-EM62A-I,4,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4275199,X-EM62B-I,5,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4275251,X-EM64-I,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4275312,X-EM65-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4276570,X-EM67-I,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4276585,X-EM71-I,3,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4276630,X-EM72-I,5,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4276653,X-EM73-I,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4276660,X-EM74-I,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4276666,X-EM75-I,15,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4439613,X-EO05-I,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4442976,X-EO07-I,12,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4443104,X-EO17-I,9,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
