ruta,error,cuantos
4480192,1,8
4480192,3,2
4486701,1,12
4486701,3,10
4486701,4,1
4500153,1,6
4510633,1,6
4510633,3,2
4522126,1,4
4522217,1,5
4522217,3,7
4522665,1,6
4525304,1,8
4525304,3,6
4525408,1,4
4525408,3,6
4538948,1,6
4538948,3,2
4540969,3,2
4542795,4,1
4546164,1,4
4546164,3,2
4546344,3,2
4552558,1,4
4552558,3,2
4552558,4,1
4552717,1,7
4552717,3,5
4552970,1,5
4552970,3,7
4553561,1,6
4553561,3,2
4553831,1,4
4554709,1,3
4554709,3,3
4554819,1,4
4555083,1,8
4555083,3,6
4555747,1,4
4555747,3,6
4555931,1,13
4555931,3,1
4557990,1,7
4557990,3,3
4558489,1,4
4558599,1,10
4558599,3,4
4558930,1,8
4558930,3,4
4560291,1,4
4560291,3,2
4560452,1,8
4560772,3,2
4561118,1,9
4561118,3,3
4561118,4,1
4561682,1,8
4561682,3,4
4565752,1,8
4573174,1,6
4573174,3,2
4573174,4,1
4573343,4,1
4573953,1,6
4573953,3,2
4573953,4,1
4577021,3,4
4577222,3,2
4577222,4,1
4577398,1,6
4577398,3,6
4580670,1,6
4580670,3,2
4580988,1,6
4580988,3,2
4581515,1,3
4581515,3,3
4581671,3,4
4583567,1,4
4583567,3,6
4583709,1,4
4584734,1,3
4584734,3,5
4596446,1,6
4596446,3,4
4596566,1,5
4596566,3,1
4596722,1,6
4597167,1,3
4597167,3,3
4597283,1,4
4597283,3,2
4597283,4,1
4597662,3,2
4598747,1,6
4598939,1,6
4598939,3,2
4599922,1,10
4600767,1,4
4600767,3,2
4602238,1,4
4602238,3,2
4621272,1,6
4621272,3,2
4621513,1,3
4621513,3,3
4621730,3,4
4623317,3,2
4625659,3,2
4626132,1,4
4626132,3,2
4626787,1,4
4626787,3,2
4626939,1,6
4626939,3,2
4627151,1,3
4627151,3,1
4627248,1,3
4627248,3,1
4627369,3,2
4628682,1,4
4628682,4,1
4629367,3,2
4629534,1,4
4631128,1,4
4631128,3,2
4631292,1,7
4631292,3,3
4631292,4,3
4632310,3,2
4632850,1,4
4632850,3,2
4633039,1,4
4633039,4,1
4633304,1,4
4633412,1,3
4633412,3,3
