tipo,total,usuario
1,947,GRPIAA3
3,1295,GRPIAA3
4,554,GRPIAA3
5,26,GRPIAA3
6,22,GRPIAA3
7,7,GRPIAA3
8,18,GRPIAA3
9,3,GRPIAA3
10,8,GRPIAA3
12,5,GRPIAA3
14,7,GRPIAA3
1,253,GRPIAA
3,346,GRPIAA
4,105,GRPIAA
5,10,GRPIAA
6,10,GRPIAA
7,5,GRPIAA
8,16,GRPIAA
9,4,GRPIAA
10,2,GRPIAA
12,4,GRPIAA
14,8,GRPIAA
