ruta,error,cuantos
4459792,4,1
4459804,1,5
4459804,3,11
4459804,4,9
4459832,1,11
4459832,3,3
4459832,12,1
4459832,7,2
4460622,1,4
4460622,3,4
4460697,8,2
4460697,1,8
4460697,3,2
4460697,4,1
4460697,14,1
4460728,1,4
4460728,3,2
4460768,1,3
4460768,3,3
4462180,1,3
4462180,3,5
4462202,1,18
4462202,3,10
4462202,4,1
4462258,1,5
4462258,3,3
4462264,1,3
4462264,3,3
4462264,4,1
4462275,1,4
4462275,3,10
4462275,4,5
4462275,5,2
4462275,6,1
4462293,1,4
4462293,3,7
4462293,4,10
4462293,5,2
4462293,6,1
4462293,7,1
4462305,3,8
4462305,4,2
4462305,5,1
4462305,7,1
4462305,10,1
4462358,1,4
4462358,10,1
4462358,6,2
4462372,1,6
4462372,10,1
4462372,6,2
4464531,8,1
4464531,1,11
4464531,3,7
4464531,4,6
4464531,6,2
4464649,8,1
4464649,1,5
4464649,3,3
4464649,5,2
4464670,8,1
4464670,1,4
4464670,5,2
4464686,1,4
4464686,3,11
4464686,4,3
4464686,5,1
4464686,6,2
4464806,1,5
4464806,3,7
4464806,4,4
4464806,6,1
4464855,1,13
4464855,3,7
4464855,4,5
4464913,1,4
4464913,3,4
4466970,4,1
4467006,4,1
4467064,4,1
4467102,1,4
4467102,3,2
4467149,1,6
4467149,3,3
4467149,4,2
4467149,5,1
4467172,1,9
4467172,3,7
4467172,4,1
4467284,1,4
4467284,3,16
4467284,4,2
4467454,1,4
4467454,3,14
4467454,4,5
4467486,1,6
4467486,3,4
4467510,1,5
4467510,3,7
4467510,4,1
4467530,1,3
4467530,3,5
4467530,4,1
4470459,1,3
4470459,3,9
4470459,4,15
4470605,1,5
4470605,3,19
4470605,4,1
4470758,1,11
4470758,3,7
4470877,1,5
4470877,3,1
4470960,1,12
4470960,3,8
4470960,4,4
4471025,1,9
4471025,3,7
4471025,4,3
4471042,1,6
4471042,3,4
4471042,4,1
4471051,3,6
4471063,1,8
4471063,3,18
4471063,4,1
4471074,1,7
4471074,3,5
4475645,1,8
4475645,3,4
4475645,4,1
4476395,1,6
4476395,3,6
4476425,3,6
4476425,4,1
4476477,1,4
4476537,3,2
4476549,1,3
4476549,3,7
4476549,4,2
4479367,1,4
4479736,3,2
4479831,1,8
4479831,3,2
4480094,1,5
4480094,3,3
4480094,4,1
4480142,1,9
4480142,3,3
4480142,4,1
4480173,1,10
4480173,3,4
4480192,1,6
4480192,3,2
4486701,1,6
4486701,10,6
4486701,3,14
4486701,4,19
4486701,6,2
4500153,1,11
4500153,3,7
4500153,4,5
4510633,1,6
4510633,3,2
4522126,1,4
4522217,3,14
4522217,4,6
4522321,1,5
4522321,3,1
4522665,1,4
4522665,3,2
4522665,4,1
4525304,1,5
4525304,3,9
4525304,4,5
4525408,1,4
4525408,3,6
4537215,1,3
4537215,3,5
4537215,4,10
4537820,1,4
4537820,3,2
4537820,4,3
4538948,3,6
4538948,4,1
4540483,3,6
4540483,4,6
