WKT;ID;LENGTH;DIR;LONGITUD;TIPO;MODE;NAME;AB_CARRIL;BA_CARRIL;AB_CAP;BA_CAP;AB_VEL;BA_VEL;AB_ALPHA;BA_ALPHA;AB_BETA;BA_BETA;AB_CAPAC;BA_CAPAC;AB_PRELOAD;BA_PRELOAD;AB_PRELOA1;BA_PRELOA1;AB_PRELOA2;BA_PRELOA2;AB_TMPPRV_;BA_TMPPRV_;AB_TMPPRVA;BA_TMPPRVA;AB_VELPRVA;BA_VELPRVA;AB_TMPPEAT;BA_TMPPEAT;AB_TMMETRO;BA_TMMETRO;AB_TMTREN;BA_TMTREN;AB_TMBUS;BA_TMBUS;MAXBUSSP;Y12;Y20;Y30
LINESTRING (-77.066207 -12.035355,-77.072248 -12.035901);4;0.66;0;0.63;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;1.32;1.32;1.32;1.32;4;4;9.91;9.91;;;;;;;;1;1;1
LINESTRING (-77.077646 -12.03586,-77.073493 -12.035033,-77.070962 -12.03466,-77.067107 -12.035244);7;1.16;0;1.16;1;;Vicente Morales Duarez;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;33.13;99.78;30.25;78.96;30.97;78.96;1.55;1.55;1.55;1.55;45;45;17.47;17.47;;;2;2;2.8;2.8;25;1;1;1
LINESTRING (-77.070352 -12.010902,-77.068299 -12.010219);23;0.24;0;0.24;1;;Tomas Valle;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;565.88;496.22;480.51;411.11;480.51;472.25;0.31;0.31;0.39;0.33;36.51;41.41;3.54;3.54;;;0.4;0.4;0.57;0.57;25;1;1;1
LINESTRING (-77.066605 -12.028092,-77.067383 -12.027803,-77.067978 -12.027803,-77.068352 -12.02786,-77.068966 -12.028066,-77.06927 -12.028171);29;0.3;0;0.3;2;101;Jose Granda;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;515.27;317.99;217.11;227.86;217.11;321.81;0.4;0.4;0.56;0.56;28.3;22.72;4.53;4.53;;;0.52;0.52;0.73;0.73;25;1;1;1
LINESTRING (-77.072908 -12.031868,-77.067727 -12.031822);32;0.56;0;0.56;2;;Peru;3;3;960;960;45;45;0.8;0.8;3.68;3.68;2880;2880;784.76;593.89;635.47;385.84;659.98;554.98;0.75;0.75;0.91;0.76;27.84;29.81;8.46;8.46;;;0.97;0.97;1.35;1.35;25;1;1;1
LINESTRING (-77.071641 -11.991213,-77.065217 -11.990244);37;0.71;0;0.71;1;;Carlos Alberto Izaguirre;3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;937.11;1297.45;684.87;651.61;684.87;651.61;0.94;0.94;0.98;0.98;42.92;44.08;10.62;10.62;;;1.21;1.21;1.7;1.7;25;1;1;1
LINESTRING (-77.072226 -11.983741,-77.065493 -11.984307);44;0.74;0;0.74;1;;Los Alisos;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;76.84;96.45;32.68;45.18;32.68;45.18;0.98;0.98;1.13;0.99;33.9;41.44;11.04;11.04;;;1.26;1.26;1.77;1.77;25;1;1;1
LINESTRING (-77.072473 -11.972215,-77.067015 -11.971405);54;0.6;0;0.6;2;;Rio Maranon;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;;;;;0;0;0.8;0.8;0.8;0.8;30;30;9.02;9.02;;;1.03;1.03;1.44;1.44;25;1;1;1
LINESTRING (-77.072473 -11.972215,-77.072518 -11.970891,-77.072433 -11.970305,-77.072261 -11.969708,-77.071951 -11.969059,-77.07178 -11.968734,-77.071533 -11.968378,-77.071287 -11.968085,-77.070913 -11.967719,-77.070153 -11.96719);55;0.65;0;0.65;2;;Las Palmeras;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;41.03;185;33.78;145.54;33.78;173;0.87;0.87;0.87;0.89;30;29.86;9.74;9.74;;;1.11;1.11;1.56;1.56;25;1;1;1
LINESTRING (-77.063913 -11.970057,-77.06703 -11.970499,-77.067172 -11.970407);13491;0.36;0;0.54;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.72;0.72;0.72;0.72;4;4;5.42;5.42;;;;;;;;1;1;1
LINESTRING (-77.071766 -11.963863,-77.071594 -11.963863,-77.071282 -11.963694);57;0.06;1;0.06;1;;Universitaria;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;439.29;;402.63;;402.63;0;0.08;0.08;0.08;;43.17;;0.86;0.86;;;0.1;0.1;0.14;;25;1;1;1
LINESTRING (-77.069013 -11.978001,-77.072257 -11.978504);63;0.36;0;0.36;1;;Naranjal;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;36.06;82.35;34.57;74.41;37.53;79.37;0.48;0.48;0.49;0.5;41.81;39.99;5.36;5.36;;;0.61;0.61;0.86;0.86;25;1;1;1
LINESTRING (-77.071007 -11.94556,-77.066425 -11.944769);70;0.51;0;0.51;2;;25 De Enero;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;41.79;39.99;41.79;31.41;50.57;35.43;0.68;0.68;0.7;0.69;29.98;29.99;7.6;7.6;;;0.87;0.87;1.22;1.22;25;1;1;1
LINESTRING (-77.071007 -11.94556,-77.071068 -11.945703,-77.071001 -11.946226,-77.070412 -11.949802);72;0.48;1;0.48;4;;Panamericana Norte;3;3;1800;1800;80;80;1;1;4.25;4.25;5400;5400;1486.27;;1234.58;;1234.58;0;0.36;0.36;0.59;;38.84;;;;;;0.82;0.82;1.14;;25;1;1;1
LINESTRING (-77.071007 -11.94556,-77.068352 -11.947317);76;0.35;0;0.35;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.7;0.7;0.7;0.7;4;4;5.23;5.23;;;;;;;;1;1;1
LINESTRING (-77.071771 -11.937647,-77.071196 -11.937614,-77.068361 -11.937337,-77.068189 -11.937474,-77.067879 -11.937447);80;0.43;0;0.43;2;;Ca. 1 (Los Proceres);2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;228.36;170.61;172.65;192.42;172.65;192.42;0.57;0.57;0.59;0.58;29.9;29.96;6.47;6.47;;;0.74;0.74;1.03;1.03;25;1;1;1
LINESTRING (-77.071771 -11.937647,-77.069339 -11.934633);83;0.43;0;0.34;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.85;0.85;0.85;0.85;4;4;6.39;6.39;;;;;;;;1;1;1
LINESTRING (-77.072373 -11.930531,-77.071884 -11.93056,-77.071278 -11.930531,-77.070779 -11.930479,-77.070446 -11.930449,-77.070196 -11.930397,-77.069985 -11.930353,-77.069788 -11.930301,-77.069443 -11.930164);90;0.32;0;0.32;1;;Heroes Del Cenepa;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;446.56;496.38;316.95;432.91;316.95;432.91;0.43;0.43;0.56;0.56;24.64;35.57;4.87;4.87;;;0.56;0.56;0.78;0.78;25;1;1;1
LINESTRING (-77.073005 -11.959333,-77.068988 -11.958736);113;0.44;0;0.44;2;;Central;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;;;;;0;0;0.59;0.59;0.59;0.59;29.96;30;6.64;6.64;;;0.76;0.76;1.06;1.06;25;1;1;1
LINESTRING (-77.069488 -11.962653,-77.07019 -11.962864,-77.070766 -11.96315);115;0.15;1;0.15;1;;Universitaria;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;186.68;;86.62;;215.42;0;0.2;0.2;0.2;;42.68;;2.25;2.25;;;0.26;0.26;0.36;;25;1;1;1
LINESTRING (-77.074519 -11.882545,-77.073515 -11.882526,-77.072274 -11.882244,-77.071878 -11.882191,-77.070207 -11.881502,-77.069747 -11.881372,-77.069186 -11.881353,-77.068666 -11.881316);119;0.66;0;0.66;2;;Av. Principal;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;;;;;0;0;0.88;0.88;0.88;0.88;28.73;28.89;9.89;9.89;;;1.13;1.13;1.58;1.58;25;1;1;1
LINESTRING (-77.040508 -11.828157,-77.043695 -11.828678,-77.04458 -11.828792);1713;0.45;0;0.45;5;;Huarangal;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;6.14;5.86;1.08;1.08;1.08;1.08;24.99;24.94;6.74;6.74;;;0.77;0.77;1.35;1.35;20;1;1;1
LINESTRING (-77.068666 -11.881316,-77.067733 -11.901363,-77.067662 -11.902603,-77.067812 -11.903357,-77.068347 -11.905011,-77.069117 -11.906372,-77.073381 -11.91281,-77.073582 -11.91312);1716;3.7;0;3.7;4;;Panamericana Norte;3;3;1800;1800;80;80;1;1;4.25;4.25;5400;5400;964.88;445.71;745.74;441.25;745.74;441.25;2.77;2.77;4.74;3.46;21.07;63.6;;;;;6.34;6.34;8.87;8.87;25;1;1;1
LINESTRING (-77.068666 -11.881316,-77.072391 -11.885326);1717;0.6;0;0.6;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;1.2;1.2;1.2;1.2;4;4;9.02;9.02;;;;;;;;1;1;1
LINESTRING (-77.069195 -11.956718,-77.069501 -11.954736);1721;0.22;1;0.22;4;;Panamericana Norte;3;3;1800;1800;80;80;1;1;4.25;4.25;5400;5400;602.66;;577.13;;674.74;0;0.17;0.17;0.21;;67.6;;;;;;0.38;0.38;0.53;;25;1;1;1
LINESTRING (-77.072627 -11.964619,-77.070153 -11.96719);1815;0.39;0;0.39;5;;Blondet;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;24.47;;20.08;0;20.08;0.94;0.94;0.95;0.94;24.63;25;5.88;5.88;;;0.67;0.67;1.18;1.18;20;1;1;1
LINESTRING (-77.072243 -11.994503,-77.063705 -11.99146);13580;0.99;0;0.59;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;1.98;1.98;1.98;1.98;4;4;14.83;14.83;;;;;;;;1;1;1
LINESTRING (-77.068554 -11.980692,-77.072313 -11.980094);1867;0.41;0;0.41;5;;Pariahuanca;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;1;1;1;1;25;25;6.22;6.22;;;0.71;0.71;1.24;1.24;20;1;1;1
LINESTRING (-77.069443 -11.930164,-77.071573 -11.926219);1910;0.49;0;0.49;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.99;0.99;0.99;0.99;4;4;7.41;7.41;;;;;;;;1;1;1
LINESTRING (-77.068885 -11.959998,-77.068984 -11.960447,-77.069074 -11.960632,-77.069182 -11.960773,-77.069398 -11.961019,-77.069749 -11.961301,-77.07019 -11.962155,-77.070514 -11.962807,-77.070766 -11.96315);2090;0.41;1;0.41;5;;Acceso a Universitaria;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;36.12;;30.1;;32.99;0;0.99;0.99;0.99;;24.99;;6.17;6.17;;;0.71;0.71;1.23;;20;1;1;1
LINESTRING (-77.056057 -11.86214,-77.061822 -11.864105,-77.065077 -11.864028,-77.068011 -11.86383);2191;1.34;0;1.34;5;;San Juan;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;30.23;9.83;23.15;7.01;23.15;7.01;3.22;3.22;3.24;3.22;24.76;24.86;20.1;20.1;;;2.3;2.3;4.02;4.02;20;1;1;1
LINESTRING (-77.071899 -11.935341,-77.069339 -11.934633);2204;0.29;0;0.34;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.58;0.58;0.58;0.58;4;4;4.34;4.34;;;;;;;;1;1;1
LINESTRING (-77.071112 -11.942997,-77.068086 -11.942418,-77.067584 -11.94202,-77.067023 -11.941943);2218;0.47;0;0.47;5;;San Miguelito;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;1.12;1.12;1.12;1.12;25;25;6.91;6.91;;;0.8;0.8;1.4;1.4;20;1;1;1
LINESTRING (-77.018283 -12.059055,-77.018474 -12.057665);2352;0.16;1;0.16;2;;Parinacochas;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;112.62;;88.92;;107.44;0;0.21;0.21;0.21;;29.4;;2.33;2.33;;;0.27;0.27;0.37;;25;1;1;1
LINESTRING (-77.013663 -12.059249,-77.014205 -12.058082);2359;0.14;0;0.14;1;;Aviacion;3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;101.34;500.56;59.86;291.97;106.06;402.59;0.19;0.19;0.2;0.23;34.18;30.72;2.13;2.13;;;0.24;0.24;0.34;0.34;25;1;1;1
LINESTRING (-77.013663 -12.059249,-77.013043 -12.059032,-77.012973 -12.05887,-77.012356 -12.058117,-77.011471 -12.057768,-77.011264 -12.057649);2360;0.33;0;0.33;5;;Garcia Naranjo;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;127.43;;61.86;;114.96;0;0.79;0.79;0.79;0.79;25;24.08;4.92;4.92;;;0.56;0.56;0.98;0.98;20;1;1;1
LINESTRING (-77.016399 -12.057388,-77.014808 -12.056703,-77.014793 -12.056635);14361;0.2;1;0.2;5;;Miguel Grau;3;3;840;840;30;30;0.5;0.5;3.7;3.7;2520;2520;;;;;0;0;0.26;0.26;0.26;;44.18;;;;;;0.34;0.34;0.59;;20;1;1;1
LINESTRING (-77.010537 -12.057205,-77.007836 -12.059441);2369;0.38;0;0.38;1;;Nicolas Ayllon;3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;1062.78;477.18;355.71;241.78;878.14;644.95;0.51;0.51;0.54;0.58;39.54;34.19;5.76;5.76;;;0.66;0.66;0.92;0.92;25;1;1;1
LINESTRING (-77.003693 -12.052834,-77.003837 -12.053506,-77.003991 -12.054294,-77.004355 -12.055194,-77.005333 -12.056376,-77.006946 -12.058342);2370;0.72;0;0.72;2;;Jose De La Riva Aguero;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;586.85;552.14;408.43;428.4;560.13;541.5;0.96;0.96;1.54;1.34;26.09;27.99;10.8;10.8;;;1.23;1.23;1.73;1.73;25;1;1;1
LINESTRING (-76.994672 -12.058794,-76.99433 -12.058448);2373;0.05;0;0.05;5;;Los Lirios;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;6.16;3.16;0.13;0.13;0.13;0.13;25;25;0.8;0.8;;;0.09;0.09;0.16;0.16;20;1;1;1
LINESTRING (-76.975578 -12.053993,-76.975121 -12.055083,-76.974672 -12.056311,-76.974587 -12.056546,-76.974592 -12.056766,-76.974645 -12.057086,-76.974769 -12.057447,-76.974817 -12.057651);2375;0.43;1;0.43;5;;Los Robles;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;278.96;;159.03;;159.03;0;1.03;1.03;1.03;;24.99;;6.42;6.42;;;0.73;0.73;1.28;;20;1;1;1
LINESTRING (-76.973766 -12.058564,-76.974087 -12.058583,-76.97436 -12.058564,-76.974496 -12.058509,-76.974587 -12.058453,-76.974659 -12.058375,-76.974716 -12.058249,-76.974723 -12.058068,-76.974689 -12.057913,-76.974614 -12.05779,-76.974447 -12.057665,-76.974258 -12.057631,-76.974103 -12.057668,-76.973978 -12.057739,-76.973834 -12.057872,-76.97361 -12.058127);2380;0.31;1;0.31;5;;Rampa;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.74;0.74;0.74;;20.43;;4.63;4.63;;;0.53;0.53;0.93;;20;1;1;1
LINESTRING (-76.972773 -12.058137,-76.973121 -12.058296);2382;0.04;1;0.04;4;;Nicolas Ayllon;5;5;1800;1800;45;45;0.8;0.8;3.68;3.68;9000;9000;831.28;;506.64;;853.44;0;0.06;0.06;0.06;;30.31;;0.63;0.63;;;0.07;0.07;0.1;;25;1;1;1
LINESTRING (-76.97361 -12.058127,-76.973345 -12.058514);2383;0.05;1;0.05;4;;Via De Evitamiento;4;4;1800;1800;80;80;1;1;4.25;4.25;7200;7200;823.61;;396.9;;708.53;0;0.04;0.04;0.04;;67.61;;;;;;0.09;0.09;0.12;;25;1;1;1
LINESTRING (-76.968154 -12.056334,-76.96662 -12.060215);2385;0.46;0;0.46;2;;Los Frutales;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;429.03;191.16;282.05;132.45;285.5;132.45;0.61;0.61;0.64;0.62;29.83;29.98;6.91;6.91;;;0.79;0.79;1.11;1.11;25;1;1;1
LINESTRING (-76.95084 -12.05362,-76.949578 -12.048409);13201;0.59;0;0.7;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;1.19;1.19;1.19;1.19;4;4;8.89;8.89;;;;;;;;1;1;1
LINESTRING (-76.964608 -12.05474,-76.962718 -12.05881);2393;0.5;0;0.5;1;;La Molina;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;299.59;248.62;171.91;188.24;191.59;188.24;0.66;0.66;0.82;0.67;33.71;37;7.43;7.43;;;0.85;0.85;1.19;1.19;25;1;1;1
LINESTRING (-77.020775 -12.060716,-77.021126 -12.058043);2410;0.3;1;0.3;5;;Huamanga (Prol);2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.72;0.72;0.72;;25;;4.56;4.56;;;0.51;0.51;0.89;;20;1;1;1
LINESTRING (-77.019407 -12.057769,-77.019239 -12.059167);2414;0.16;1;0.16;5;;Lucanas (Prol);2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;136.72;;85.13;;86.46;0;0.37;0.37;0.37;;16.61;;2.33;2.33;;;0.27;0.27;0.47;;20;1;1;1
LINESTRING (-77.016625 -12.058863,-77.017426 -12.057525);2418;0.17;0;0.17;2;;Huanuco;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;451.88;216.76;324.22;87.66;336.23;87.66;0.23;0.23;0.26;0.33;29.97;30;2.58;2.58;;;0.29;0.29;0.41;0.41;25;1;1;1
LINESTRING (-77.025449 -12.058597,-77.025457 -12.058534);14409;0.01;0;0.01;30;100;ArcoPeaton;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.11;0.11;;;;;;;;;0.01;0.01;0.02;0.02;;1;1;1
LINESTRING (-77.025513 -12.058552,-77.02665 -12.058694,-77.026661 -12.058718,-77.02675 -12.058728,-77.026763 -12.058709);2425;0.14;0;0.14;3;;Via Expresa Grau;2;2;1800;1800;60;60;1;1;3.81;3.81;3600;3600;253.25;423.23;159.63;181.59;346.84;398.68;0.14;0.14;0.15;0.14;52.23;53.26;2.1;2.1;;;0.24;0.24;0.34;0.34;25;1;1;1
LINESTRING (-77.025449 -12.058597,-77.024334 -12.058453,-77.024306 -12.058392);14407;0.13;1;0.13;1;;Miguel Grau;3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;658.15;;261.35;;583.27;0;0.17;0.17;0.17;;44.87;;1.89;1.89;;;0.22;0.22;0.31;;25;1;1;1
LINESTRING (-77.023872 -12.058395,-77.02375 -12.060123);2431;0.19;1;0.19;5;;Julio Mendoza Merino;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;479.59;;217.85;;340.53;0;0.46;0.46;0.46;;24.51;;2.88;2.88;;;0.33;0.33;0.57;;20;1;1;1
LINESTRING (-76.974929 -12.055104,-76.974908 -12.055329,-76.974812 -12.055623,-76.97463 -12.05612,-76.974549 -12.056361,-76.974497 -12.056603,-76.974475 -12.056748,-76.974479 -12.056867,-76.97452 -12.0571,-76.974814 -12.057869);2432;0.32;1;0.32;5;;Acceso Nicolas Ayllon;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;259.49;;136.84;;193.53;0;0.77;0.77;0.77;;15.46;;4.79;4.79;;;0.55;0.55;0.96;;20;1;1;1
LINESTRING (-77.020374 -12.057947,-77.020047 -12.060619);2437;0.3;1;0.3;5;;La Mar (Prol);2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.71;0.71;0.71;;25;;4.55;4.55;;;0.51;0.51;0.89;;20;1;1;1
LINESTRING (-76.97354 -12.058658,-76.973392 -12.058598);2441;0.02;1;0.02;4;;Nicolas Ayllon;5;5;1800;1800;45;45;0.8;0.8;3.68;3.68;9000;9000;1903.98;;1220.78;;1395.01;0;0.02;0.02;0.03;;30.76;;0.26;0.26;;;0.03;0.03;0.04;;25;1;1;1
LINESTRING (-76.944349 -12.05689,-76.942332 -12.060678);2444;0.47;0;0.47;1;;Huarochiri;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;312.91;434.18;244.69;304.79;275.12;473.35;0.63;0.63;0.64;0.65;42.82;30.86;7.1;7.1;;;0.81;0.81;1.14;1.14;25;1;1;1
LINESTRING (-76.944349 -12.05689,-76.951675 -12.060537);2445;0.89;0;0.89;1;;Separadora Industrial;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;;;;;1.83;3.24;1.19;1.19;1.27;1.21;27.95;42.67;13.41;13.41;;;1.53;1.53;2.15;2.15;25;1;1;1
LINESTRING (-76.993506 -12.058512,-76.993607 -12.059601);2451;0.12;0;0.12;5;;Los Rosales;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;6.16;3.16;0.29;0.29;0.29;0.29;25;25;1.81;1.81;;;0.21;0.21;0.36;0.36;20;1;1;1
LINESTRING (-76.993506 -12.058512,-76.991238 -12.058684);2452;0.25;0;0.25;5;;Los Parques;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.59;0.59;0.59;0.59;25;25;3.72;3.72;;;0.42;0.42;0.74;0.74;20;1;1;1
LINESTRING (-76.971342 -12.066866,-76.971136 -12.065413,-76.971136 -12.064091,-76.97126 -12.063073);2456;0.42;1;0.42;4;;Via De Evitamiento;3;3;1800;1800;80;80;1;1;4.25;4.25;5400;5400;767.34;;469.72;;597.62;0;0.32;0.32;0.37;;54.46;;;;;;0.72;0.72;1.01;;25;1;1;1
LINESTRING (-76.997856 -12.061247,-76.994773 -12.057804);2463;0.51;0;0.51;5;;;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;1.22;1.22;1.22;1.22;25;25;7.62;7.62;;;0.87;0.87;1.52;1.52;20;1;1;1
LINESTRING (-77.025827 -12.051693,-77.028267 -12.050799);13149;0.28;0;0.45;98;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;4.25;4.25;;;;;4.25;4.25;;;0.49;0.49;0.85;0.85;;1;1;1
LINESTRING (-76.973392 -12.058598,-76.973345 -12.058514);10214;0.01;0;0.01;30;100;ArcoPeaton;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.16;0.16;;;;;0.16;0.16;;;0.02;0.02;0.03;0.03;;1;1;1
LINESTRING (-77.01193 -12.065993,-77.012305 -12.061109);2474;0.54;0;1.28;25;;Tren I Grau;;;;;35;35;;;;;;;0;0;0;0;19;19;;;;;;;;;;;0.93;0.88;1.54;1.54;;1;1;1
LINESTRING (-77.020615 -12.062091,-77.020377 -12.063455);14382;0.15;0;0.15;5;;Huamanga (Prol);2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.37;0.37;0.37;0.37;25;25;;;;;0.26;0.26;0.46;0.46;20;1;1;1
LINESTRING (-77.042887 -12.043432,-77.042806 -12.043215);15994;0.03;0;0.03;30;100;ArcoPeaton;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.38;0.38;;;;;1.93;1.93;;;0.04;0.04;0.08;0.08;;1;1;1
LINESTRING (-77.035684 -12.059072,-77.035704 -12.059481);15989;0.05;0;0.05;30;100;ArcoPeaton;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.68;0.68;;;;;0.53;0.53;;;0.08;0.08;0.14;0.14;;1;1;1
LINESTRING (-77.031504 -12.059292,-77.031514 -12.059195);2712;0.01;0;0.01;5;;Puente Zavala Loayza;3;3;840;840;30;30;0.5;0.5;3.7;3.7;2520;2520;15.08;;4.75;;15.74;0;0.03;0.03;0.03;0.03;25;24.93;0.23;0.23;;;0.02;0.02;0.03;0.03;20;1;1;1
LINESTRING (-77.029917 -12.05909,-77.029983 -12.057835);2720;0.14;0;0.14;2;;Abancay;3;3;960;960;45;45;0.8;0.8;3.68;3.68;2880;2880;600.02;1189.73;532.72;725.4;742.53;948.8;0.19;0.19;0.2;0.27;29.27;23.28;2.09;2.09;;;0.24;0.24;0.33;0.33;25;1;1;1
LINESTRING (-77.026709 -12.058689,-77.026653 -12.05875,-77.025449 -12.058597);2749;0.14;1;0.14;1;;Miguel Grau;3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;658.15;;261.35;;583.27;0;0.19;0.19;0.19;;44.87;;2.06;2.06;;;0.24;0.24;0.34;;25;1;1;1
LINESTRING (-77.026709 -12.058689,-77.026715 -12.057434);2751;0.14;1;0.14;5;101;Andahuaylas;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.33;0.33;0.35;;21.88;;2.08;2.08;;;0.24;0.24;0.42;;20;1;1;1
LINESTRING (-77.014205 -12.058082,-77.01593 -12.058729);4386;0.2;1;0.2;5;;Antonio Raymondi;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;18.57;;15.92;;18.77;0;0.48;0.48;0.48;;25;;3.01;3.01;;;0.34;0.34;0.6;;20;1;1;1
LINESTRING (-77.008477 -12.05777,-77.007301 -12.058775);4390;0.17;0;0.17;5;;Junin;1;2;840;840;30;30;0.5;0.5;3.7;3.7;840;1680;;;;;0;0;0.41;0.41;0.41;0.41;24.35;25;2.54;2.54;;;0.29;0.29;0.51;0.51;20;1;1;1
LINESTRING (-77.064885 -12.048644,-77.067292 -12.048896);4410;0.26;0;0.26;1;;Oscar R. Benavides;3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;113.84;72.5;51.8;54.22;126.52;115.65;0.35;0.35;0.35;0.35;44.7;44.95;3.95;3.95;;;0.45;0.45;0.63;0.63;25;1;1;1
LINESTRING (-77.065223 -12.045497,-77.069707 -12.045911);4416;0.49;0;0.49;1;;Argentina;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;180.63;192.62;91.22;137.13;135.94;147.34;0.65;0.65;0.65;0.65;45;44.72;7.36;7.36;;;0.84;0.84;1.18;1.18;25;1;1;1
LINESTRING (-77.035491 -12.0594,-77.035704 -12.059481);10801;0.02;0;0.02;30;100;ArcoPeaton;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.37;0.37;;;;;0;0;;;0.04;0.04;0.07;0.07;;1;1;1
LINESTRING (-77.041947 -12.056254,-77.042002 -12.056335,-77.041847 -12.058112);4424;0.21;1;0.21;1;;Alfonso Ugarte (Aux);3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;1525.03;;908.87;;1330.29;0;0.28;0.28;0.33;;29.33;;3.12;3.12;;;0.36;0.36;0.5;;25;1;1;1
LINESTRING (-77.041631 -12.05965,-77.041553 -12.059554,-77.041696 -12.058102);4428;0.17;1;0.17;1;;Alfonso Ugarte (Aux);3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;1312.73;;792.86;;792.86;0;0.23;0.23;0.25;;41.78;;2.62;2.62;;;0.3;0.3;0.42;;25;1;1;1
