WKT;ID;LENGTH;DIR;LONGITUD;TIPO;MODE;NAME;AB_CARRIL;BA_CARRIL;AB_CAP;BA_CAP;AB_VEL;BA_VEL;AB_ALPHA;BA_ALPHA;AB_BETA;BA_BETA;AB_CAPAC;BA_CAPAC;AB_PRELOAD;BA_PRELOAD;AB_PRELOA1;BA_PRELOA1;AB_PRELOA2;BA_PRELOA2;AB_TMPPRV_;BA_TMPPRV_;AB_TMPPRVA;BA_TMPPRVA;AB_VELPRVA;BA_VELPRVA;AB_TMPPEAT;BA_TMPPEAT;AB_TMMETRO;BA_TMMETRO;AB_TMTREN;BA_TMTREN;AB_TMBUS;BA_TMBUS;MAXBUSSP;Y12;Y20;Y30
LINESTRING (-77.057709 -12.090092,-77.056475 -12.088621);5628;0.21;0;0.21;2;;Gregorio Escobedo;2;2;960;960;25;45;0.8;0.8;3.68;3.68;1920;1920;585.67;706.18;399.75;408.96;399.75;624.72;0.51;0.28;0.51;0.29;23.5;22.64;3.39;3.39;;;0.36;0.36;0.51;0.51;25;1;1;1
LINESTRING (-77.058486 -12.089644,-77.057709 -12.090092);6047;0.1;1;0.1;1;;Faustino Sanchez Carrion;3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;920.96;;393.66;;965.21;0;0.13;0.13;0.15;;33.65;;1.47;1.47;;;0.17;0.17;0.24;;25;1;1;1
LINESTRING (-77.060309 -12.088424,-77.059213 -12.089166);5715;0.14;1;0.14;1;;Faustino Sanchez Carrion;3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;924.73;;396.58;;967.62;0;0.19;0.19;0.22;;33.63;;2.17;2.17;;;0.25;0.25;0.35;;25;1;1;1
LINESTRING (-77.059213 -12.089166,-77.058486 -12.089644);5756;0.1;1;0.1;1;;Faustino Sanchez Carrion;3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;924.73;;396.58;;967.62;0;0.13;0.13;0.15;;33.63;;1.43;1.43;;;0.16;0.16;0.23;;25;1;1;1
LINESTRING (-77.058357 -12.091045,-77.059126 -12.090532);5754;0.1;0;0.1;5;;Francisco Granha;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;4.92;;2.41;0;2.41;0.24;0.24;0.24;0.24;25;25;1.52;1.52;;;0.17;0.17;0.3;0.3;20;1;1;1
LINESTRING (-77.058486 -12.089644,-77.059126 -12.090532);6048;0.12;0;0.12;5;;Comandante Gustavo Jimenez;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;4.92;;2.41;;2.41;0;0.29;0.29;0.29;0.29;25;25;1.81;1.81;;;0.21;0.21;0.36;0.36;20;1;1;1
LINESTRING (-77.054154 -12.083352,-77.055792 -12.085873);5935;0.33;1;0.33;5;;Estados Unidos;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.79;0.79;0.79;;25;;4.97;4.97;;;0.57;0.57;0.99;;20;1;1;1
LINESTRING (-77.056873 -12.084845,-77.058305 -12.080674);13397;0.49;0;0.44;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.97;0.97;0.97;0.97;4;4;7.31;7.31;;;;;;;;1;1;1
LINESTRING (-77.055792 -12.085873,-77.054803 -12.086652);6049;0.14;1;0.14;5;;Diego De Almagro;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.33;0.33;0.33;;25;;2.07;2.07;;;0.24;0.24;0.41;;20;1;1;1
LINESTRING (-77.056572 -12.078609,-77.058305 -12.080674);5902;0.3;0;0.3;1;;Brasil;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;540.83;129.69;345.47;110.31;502.62;196.14;0.4;0.4;0.43;0.44;38.83;40.03;4.44;4.44;;;0.51;0.51;0.71;0.71;25;1;1;1
LINESTRING (-76.936004 -12.070596,-76.939994 -12.064914);13401;0.76;0;0.49;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;1.53;1.53;1.53;1.53;4;4;11.46;11.46;;;;;;;;1;1;1
LINESTRING (-77.057258 -12.081494,-77.054701 -12.078412);5985;0.44;1;0.44;5;;General Garzon;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;147.2;;31.7;;31.7;0;1.06;1.06;1.06;;25;;6.6;6.6;;;0.75;0.75;1.32;;20;1;1;1
LINESTRING (-77.057258 -12.081494,-77.058305 -12.080674);5986;0.15;0;0.15;2;;San Felipe;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;77.93;326.85;39.55;66.18;39.55;66.18;0.19;0.19;0.23;0.23;29.86;28.07;2.19;2.19;;;0.25;0.25;0.35;0.35;25;1;1;1
LINESTRING (-77.058305 -12.080674,-77.058228 -12.080655,-77.056569 -12.078689,-77.056572 -12.078609);5994;0.3;1;0.3;5;;Brasil (Aux);2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;142.55;;132.37;;163.85;0;0.4;0.4;0.43;;39.51;;4.5;4.5;;;0.51;0.51;0.9;;20;1;1;1
LINESTRING (-77.058305 -12.080674,-77.060022 -12.07929);5996;0.24;0;0.24;2;;General Manuel Vivanco;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;52.4;323.08;21.41;66.18;39.55;66.18;0.32;0.32;0.33;0.32;28.77;24.07;3.62;3.62;;;0.41;0.41;0.58;0.58;25;1;1;1
LINESTRING (-77.060723 -12.078725,-77.061096 -12.079455);5999;0.09;0;0.09;5;;Mariscal Agustin Gamarra;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;405.41;;66.18;0;66.18;0.22;0.22;0.22;0.22;25;24.19;1.36;1.36;;;0.15;0.15;0.27;0.27;20;1;1;1
LINESTRING (-77.060723 -12.078725,-77.060792 -12.080479);6000;0.19;0;0.42;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.39;0.39;0.39;0.39;4;4;2.91;2.91;;;;;;;;1;1;1
LINESTRING (-77.061096 -12.079455,-77.061227 -12.079713);6017;0.03;0;0.03;5;;Mariscal Agustin Gamarra;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;405.41;;66.18;0;66.18;0.08;0.08;0.08;0.08;25;24.19;0.48;0.48;;;0.05;0.05;0.1;0.1;20;1;1;1
LINESTRING (-77.06835 -12.083671,-77.067223 -12.083141);13542;0.14;0;0.17;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.27;0.27;0.27;0.27;4;4;2.04;2.04;;;;;;;;1;1;1
LINESTRING (-77.055138 -12.08049,-77.056488 -12.082119);5969;0.23;1;0.23;5;;Arnaldo Marquez;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.56;0.56;0.56;;25;;3.49;3.49;;;0.4;0.4;0.7;;20;1;1;1
LINESTRING (-77.057258 -12.081494,-77.056488 -12.082119);5987;0.11;0;0.11;2;;San Felipe;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;202.3;132.87;66.18;68.2;66.18;71.25;0.14;0.14;0.16;0.15;29.78;29.98;1.63;1.63;;;0.19;0.19;0.26;0.26;25;1;1;1
LINESTRING (-77.054701 -12.078412,-77.056572 -12.078609);5965;0.2;1;0.2;5;;Francisco Javier Mariategui;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;10.13;;1.89;;10.32;0;0.49;0.49;0.49;;25;;3.07;3.07;;;0.35;0.35;0.61;;20;1;1;1
LINESTRING (-77.067513 -12.067751,-77.066601 -12.06224);4481;0.62;0;0.62;2;;La Alborada;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;104.27;778.66;84.75;141.78;125.28;141.78;0.82;0.82;0.82;0.88;29.97;29.99;9.27;9.27;;;1.06;1.06;1.48;1.48;25;1;1;1
LINESTRING (-77.067513 -12.067751,-77.06186 -12.067621);4483;0.62;0;0.62;2;;Mariano Cornejo;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;;;;;0;0;0.82;0.82;0.83;0.82;29.97;30;9.23;9.23;;;1.06;1.06;1.48;1.48;25;1;1;1
LINESTRING (-77.063012 -12.061545,-77.058964 -12.06109);4702;0.44;0;0.45;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.89;0.89;0.89;0.89;4;4;6.65;6.65;;;;;;;;1;1;1
LINESTRING (-77.066601 -12.06224,-77.061322 -12.063164,-77.060652 -12.063305,-77.059839 -12.063627);4716;0.75;0;0.75;2;;Alejandro Bertello Bollati;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;102.52;506.67;83.01;141.78;125.28;141.78;1.01;1.01;1.01;1.02;30;30;11.31;11.31;;;1.29;1.29;1.81;1.81;25;1;1;1
LINESTRING (-77.054163 -12.066556,-77.05433 -12.066803,-77.054482 -12.067288,-77.054597 -12.067771,-77.05468 -12.068207,-77.054714 -12.068448);5891;0.22;0;0.22;5;;Del Rio;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.53;0.53;0.53;0.53;24.93;25;3.3;3.3;;;0.38;0.38;0.66;0.66;20;1;1;1
LINESTRING (-77.054163 -12.066556,-77.060426 -12.067421);5893;0.69;0;0.69;2;;Mariano Cornejo;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;15.11;;4.68;;4.68;0;0.92;0.92;0.92;0.92;30;30;10.33;10.33;;;1.18;1.18;1.65;1.65;25;1;1;1
LINESTRING (-77.059839 -12.063627,-77.060941 -12.066831);6050;0.37;0;0.37;2;;Tingo Maria;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;808.25;436.4;567.56;369.68;567.56;369.68;0.5;0.5;0.59;0.6;29.48;29.91;5.61;5.61;;;0.64;0.64;0.9;0.9;25;1;1;1
LINESTRING (-77.056449 -12.07002,-77.050422 -12.071217);13538;0.67;0;0.49;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;1.34;1.34;1.34;1.34;4;4;10.04;10.04;;;;;;;;1;1;1
LINESTRING (-77.068685 -12.067773,-77.067513 -12.067751);15868;0.13;0;0.13;2;;Mariano Cornejo;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;104.27;778.66;84.75;141.78;125.28;141.78;0.17;0.17;0.18;0.18;29.69;29.99;1.91;1.91;;;0.22;0.22;0.31;0.31;25;1;1;1
LINESTRING (-77.063012 -12.061545,-77.066601 -12.06224);4701;0.4;0;0.45;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.8;0.8;0.8;0.8;4;4;5.97;5.97;;;;;;;;1;1;1
LINESTRING (-77.061547 -12.071633,-77.061381 -12.069976);4520;0.18;0;0.18;2;;Jose De San Martin;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;338.67;713.81;288.47;555.08;369.68;572.24;0.25;0.25;0.29;0.32;29.91;29.59;2.76;2.76;;;0.32;0.32;0.44;0.44;25;1;1;1
LINESTRING (-77.055693 -12.073695,-77.055102 -12.070602);5948;0.35;0;0.35;5;;Del Rio;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.84;0.84;0.84;0.84;25;25;5.22;5.22;;;0.6;0.6;1.04;1.04;20;1;1;1
LINESTRING (-77.055693 -12.073695,-77.056282 -12.07319,-77.056828 -12.072761,-77.057256 -12.072509,-77.057813 -12.072258,-77.05822 -12.072112,-77.058906 -12.071878);5949;0.41;0;0.41;2;;Simon Bolivar;3;3;960;960;45;45;0.8;0.8;3.68;3.68;2880;2880;689.21;475.85;419.49;309.96;520.78;472.03;0.54;0.54;0.55;0.68;29.95;28.64;6.12;6.12;;;0.7;0.7;0.98;0.98;25;1;1;1
LINESTRING (-77.055693 -12.073695,-77.056449 -12.07002);5950;0.41;0;0.49;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.83;0.83;0.83;0.83;4;4;6.22;6.22;;;;;;;;1;1;1
LINESTRING (-77.054714 -12.068448,-77.056102 -12.068205,-77.057502 -12.068184,-77.057927 -12.068225,-77.05833 -12.068412,-77.059434 -12.069201);5961;0.55;0;0.55;5;;Colombia;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;21.14;;2;0;2;1.32;1.32;1.32;1.32;25;25;8.24;8.24;;;0.94;0.94;1.65;1.65;20;1;1;1
