tipo,total,usuario
1,1092,GRPIAA3
3,1491,GRPIAA3
4,278,GRPIAA3
5,31,GRPIAA3
6,19,GRPIAA3
7,7,GRPIAA3
8,27,GRPIAA3
9,5,GRPIAA3
10,2,GRPIAA3
12,7,GRPIAA3
14,11,GRPIAA3
1,133,GRPIAA
3,139,GRPIAA
4,11,GRPIAA
5,2,GRPIAA
6,4,GRPIAA
7,4,GRPIAA
8,7,GRPIAA
9,2,GRPIAA
10,2,GRPIAA
12,2,GRPIAA
14,4,GRPIAA
