usuario,ruta,tipo1,tipo2,tipo3,tipo4,tipo5,tipo6,tipo7,tipo8,tipo9,tipo10,tipo11,tipo12,tipo13,tipo14,tipo15,tipo16,tipo17,tipo18,tipo19,tipo20
GRPIAA,4227460,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4227527,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4227549,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4227584,12,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4230140,11,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4230229,5,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4230265,5,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4230381,5,0,19,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4230503,11,0,25,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4230845,8,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4238954,7,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4239855,11,0,6,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
GRPIAA,4240062,11,0,33,11,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4240191,6,0,20,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4240224,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4242615,11,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4244341,6,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4245781,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4245804,9,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4245910,10,0,28,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4245915,8,0,14,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4245920,13,0,13,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4248299,9,0,22,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4248438,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4252696,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4252751,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4252790,11,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4261592,7,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4261607,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4261629,11,0,27,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4261655,6,0,18,7,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
GRPIAA,4267328,11,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4269638,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4269667,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4270170,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4270204,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4270225,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4273938,5,0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4273943,0,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4273945,3,0,6,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,
GRPIAA,4273973,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4275106,3,0,19,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4275199,4,0,16,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
GRPIAA,4275251,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4275312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4276570,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4276585,3,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4276653,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4276660,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4439267,8,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4439529,9,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4439613,7,0,15,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4442976,12,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4443104,9,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4443141,10,0,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4443210,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4443293,6,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4443365,8,0,7,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4443463,9,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4446025,7,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4446214,5,0,11,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,
GRPIAA,4446296,3,0,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,
GRPIAA3,4446364,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4455258,16,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4455342,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4455406,6,0,10,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4455529,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4455849,7,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4459515,5,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4459572,3,0,7,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4459740,21,0,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4459792,5,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4459804,5,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4459832,11,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,
GRPIAA,4460622,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4460728,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4460768,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4462180,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4462202,18,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4462258,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4462264,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4462275,4,0,10,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4462293,4,0,7,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4462305,0,0,8,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4462358,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4462372,6,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4464531,11,0,7,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4464670,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4464686,4,0,11,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4464806,5,0,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4464855,13,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4464913,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4466970,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4467006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4467064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4467102,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4467149,6,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4467284,4,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4467454,4,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4467486,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4467510,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
jdaniel14,4467530,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4470459,3,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4470605,5,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4470758,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4470877,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4470960,12,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4471022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4471025,9,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4471042,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4471051,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4471063,8,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4471074,7,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4471082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4471136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4475362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4475645,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4476395,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4476425,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4476477,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4476537,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4476549,3,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4479736,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4479831,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4480094,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4480142,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4480173,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA3,4480182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4480192,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRPIAA,4486701,6,0,13,20,1,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,
