ruta_id,nombre
4245920,X-EM41A-I,2015-01-22T19:04:12Z,GRPIAA
4248299,X-EM43-I,2015-01-22T18:55:06Z,GRPIAA
4248438,X-EM45-I,2015-01-11T01:48:26Z,GRPIAA
4252696,X-EM45B-I,2015-01-11T01:48:14Z,GRPIAA
4252751,X-EM45C-I,2015-01-11T01:48:16Z,GRPIAA
4252790,X-EM46-I,2015-01-23T19:11:32Z,GRPIAA
4261592,X-EM47-I,2015-01-22T17:39:48Z,GRPIAA
4261607,X-EM47A-I,2015-01-22T22:08:43Z,GRPIAA
4261629,X-EM48-I,2015-01-22T22:08:41Z,GRPIAA
4261655,X-EM48A-I,2015-01-21T17:02:49Z,GRPIAA
4267328,X-EM48B-I,2015-01-22T22:08:41Z,GRPIAA
4269638,X-EM49-I,2015-01-12T23:30:04Z,jdaniel14
4269667,X-EM53-I,2015-01-20T11:49:58Z,GRPIAA
4270170,X-EM54-I,2015-01-22T17:41:20Z,GRPIAA
4270204,X-EM55-I,2015-01-12T23:30:04Z,jdaniel14
4270225,X-EM55A-I,2015-01-12T23:30:04Z,jdaniel14
4273938,X-EM58-I,2015-01-20T13:02:13Z,GRPIAA
4273943,X-EM58A-I,2015-01-20T13:02:13Z,GRPIAA
4273945,X-EM58B-I,2015-01-20T13:02:00Z,GRPIAA
4273973,X-EM59-I,2015-01-20T12:41:07Z,GRPIAA
4275106,X-EM62A-I,2015-01-22T18:37:18Z,GRPIAA
4275199,X-EM62B-I,2015-01-22T18:37:14Z,GRPIAA
4275251,X-EM64-I,2015-01-22T17:50:30Z,GRPIAA
4275312,X-EM65-I,2015-01-22T18:57:00Z,GRPIAA
4276570,X-EM67-I,2015-01-21T17:02:46Z,GRPIAA
4276585,X-EM71-I,2015-01-22T22:08:44Z,GRPIAA
4276653,X-EM73-I,2015-01-23T19:11:30Z,GRPIAA
4276660,X-EM74-I,2015-01-24T00:16:33Z,GRPIAA
4439267,X-EM76-I,2015-01-23T19:11:29Z,GRPIAA
4439529,X-EO01-I,2015-01-22T22:08:44Z,GRPIAA
4439613,X-EO05-I,2015-01-22T18:37:17Z,GRPIAA
4442976,X-EO07-I,2015-01-22T21:35:13Z,GRPIAA3
4443104,X-EO17-I,2015-01-22T18:55:01Z,GRPIAA
4443141,X-EO18-I,2015-01-22T22:08:44Z,GRPIAA
4443210,X-EO20-I,2015-01-22T21:35:13Z,GRPIAA3
4443293,X-EO21-I,2015-01-23T19:11:30Z,GRPIAA
4443365,X-EO24-I,2015-01-22T22:10:53Z,GRPIAA
4443463,X-EO25-I,2015-01-22T22:10:54Z,GRPIAA
4446025,X-EO26-I,2015-01-08T22:58:56Z,GRPIAA
4446214,X-EO29-I,2015-01-20T13:02:12Z,GRPIAA
4446296,X-EO31-I,2015-01-20T13:02:12Z,GRPIAA
4446364,X-EO35-I,2015-01-22T21:35:15Z,GRPIAA3
4455258,X-EO39-I,2015-01-23T17:36:57Z,GRPIAA3
4455342,X-EO47-I,2015-01-11T01:48:28Z,GRPIAA
4455406,X-EO48-I,2015-01-19T21:31:45Z,GRPIAA3
4455529,X-EO49-I,2015-01-22T18:55:00Z,GRPIAA
4455849,X-EO50-I,2015-01-23T17:36:53Z,GRPIAA3
4459515,X-EO54-I,2015-01-19T21:31:51Z,GRPIAA3
4459572,X-EO55-I,2015-01-12T22:22:43Z,jdaniel14
4459740,X-EO64-I,2015-01-22T18:55:03Z,GRPIAA
4459792,X-EO65A-I,2015-01-11T21:43:02Z,GRPIAA
4459804,X-EO65B-I,2015-01-11T21:43:04Z,GRPIAA
4459832,X-EO69-I,2015-01-20T13:02:11Z,GRPIAA
4460622,X-EO71-I,2015-01-11T21:42:52Z,GRPIAA
4460728,X-EO96A-I,2015-01-20T12:39:56Z,GRPIAA
4460768,X-EO96B-I,2015-01-24T00:48:47Z,GRPIAA
4462180,X-EO96C-I,2015-01-22T21:59:10Z,GRPIAA3
4462202,X-EO100-I,2015-01-21T17:02:49Z,GRPIAA
4462258,X-EO101-I,2015-01-22T22:08:42Z,GRPIAA
4462264,X-EO104-I,2015-01-22T17:50:34Z,GRPIAA
4462275,X-EO105-I,2015-01-22T19:04:09Z,GRPIAA
4462293,X-EO105A-I,2015-01-22T18:37:18Z,GRPIAA
4462305,X-EO109-I,2015-01-24T00:48:47Z,GRPIAA
4462358,X-EO110-I,2015-01-20T13:02:15Z,GRPIAA
4462372,X-EO110A-I,2015-01-20T13:02:15Z,GRPIAA
4464531,X-EO113-I,2015-01-22T18:37:13Z,GRPIAA
4464670,X-EO120-I,2015-01-22T19:04:08Z,GRPIAA
