tipo,ruta
3,4583567
1,4583709
1,4584734
3,4584734
1,4596446
3,4596446
1,4596566
3,4596566
1,4596722
1,4597167
3,4597167
1,4597283
3,4597283
4,4597283
3,4597662
1,4598747
1,4598939
3,4598939
1,4599922
1,4600767
3,4600767
1,4602238
3,4602238
